Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,34776,-,-,-,59.25,-154.62,-9,699,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,0,30,-7,8,-7,0,0,0,100,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,1,30,-7.6,4,-7.6,0,0,0,100,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,2,30,-8.3,4,-8.3,0,0,0,100,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,3,30,-8.9,4,-8.9,0,0,0,100,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,4,30,-9.5,7,-9.5,0,0,0,100,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,5,30,-10,7,-10,0,0,0,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,6,30,-10.4,7,-10.4,0,0,0,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,7,30,-11.1,7,-11.1,0,0,0,100,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,8,30,-11.7,7,-11.7,0,0,0,100,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,9,30,-12.2,7,-12.2,0,0,0,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,10,30,-12.7,7,-12.7,0,0,0,100,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,11,30,-13.5,4,-13.5,29,27,31,100,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
