Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,34776,-,-,-,59.25,-154.62,-9,699,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed
2010,1,1,0,30,-8.200000000000001,7,-8.200000000000001,0,0,0,100,3.9000000000000004
2010,1,1,1,30,-8.5,7,-8.5,0,0,0,100,3.9000000000000004
2010,1,1,2,30,-8.8,8,-8.8,0,0,0,100,3.9000000000000004
2010,1,1,3,30,-9.200000000000001,7,-9.200000000000001,0,0,0,100,3.9000000000000004
2010,1,1,4,30,-9.600000000000001,7,-9.600000000000001,0,0,0,100,3.9000000000000004
2010,1,1,5,30,-10.100000000000001,7,-10.100000000000001,0,0,0,100,3.9000000000000004
2010,1,1,6,30,-10.8,7,-10.8,0,0,0,100,3.9000000000000004
2010,1,1,7,30,-11.600000000000001,7,-11.600000000000001,0,0,0,100,3.9000000000000004
2010,1,1,8,30,-12.4,7,-12.4,0,0,0,100,3.8000000000000003
2010,1,1,9,30,-13.100000000000001,7,-13.100000000000001,0,0,0,100,3.5
2010,1,1,10,30,-13.700000000000001,7,-13.700000000000001,0,0,0,100,3.2
2010,1,1,11,30,-13.9,7,-13.9,29,35,32,100,2.8000000000000003
2010,1,1,12,30,-13.8,7,-13.8,45,61,53,100,2.4000000000000004
2010,1,1,13,30,-13.600000000000001,7,-13.700000000000001,48,194,75,99.04,1.9000000000000001
2010,1,1,14,30,-13.5,7,-13.700000000000001,42,80,52,98.57000000000001,1.7000000000000002
2010,1,1,15,30,-13.5,7,-13.700000000000001,24,153,35,98.56,1.1
2010,1,1,16,30,-13.5,7,-13.700000000000001,0,0,0,98.33,0.9
2010,1,1,17,30,-13.4,7,-13.700000000000001,0,0,0,97.64,1
2010,1,1,18,30,-13.3,7,-13.5,0,0,0,98.04,1.3
2010,1,1,19,30,-13.3,7,-13.3,0,0,0,100,1.6
2010,1,1,20,30,-13.3,7,-13.3,0,0,0,100,1.8
2010,1,1,21,30,-13.3,7,-13.3,0,0,0,100,1.9000000000000001
2010,1,1,22,30,-13.4,7,-13.4,0,0,0,100,2
2010,1,1,23,30,-13.600000000000001,7,-13.600000000000001,0,0,0,100,2
2010,1,2,0,30,-13.700000000000001,4,-13.700000000000001,0,0,0,100,1.9000000000000001
2010,1,2,1,30,-13.9,4,-13.9,0,0,0,100,1.9000000000000001
2010,1,2,2,30,-14.100000000000001,4,-14.100000000000001,0,0,0,100,1.9000000000000001
2010,1,2,3,30,-14.200000000000001,4,-14.200000000000001,0,0,0,100,2
2010,1,2,4,30,-14.3,4,-14.3,0,0,0,100,2.2
2010,1,2,5,30,-14.4,4,-14.4,0,0,0,100,2.4000000000000004
2010,1,2,6,30,-14.3,4,-14.3,0,0,0,100,2.7
2010,1,2,7,30,-14.3,4,-14.3,0,0,0,100,2.8000000000000003
2010,1,2,8,30,-14.200000000000001,4,-14.200000000000001,0,0,0,100,2.9000000000000004
2010,1,2,9,30,-14.100000000000001,4,-14.100000000000001,0,0,0,100,2.9000000000000004
2010,1,2,10,30,-13.600000000000001,4,-13.600000000000001,0,0,0,100,3
2010,1,2,11,30,-12.8,8,-12.8,30,121,40,100,3.3000000000000003
2010,1,2,12,30,-12.100000000000001,8,-12.100000000000001,32,0,32,100,3.7
2010,1,2,13,30,-11.700000000000001,8,-11.700000000000001,51,111,66,99.67,3.8000000000000003
2010,1,2,14,30,-11.600000000000001,7,-11.700000000000001,43,119,57,98.96000000000001,3.8000000000000003
2010,1,2,15,30,-11.700000000000001,7,-11.8,25,87,31,98.86,3.6
2010,1,2,16,30,-11.8,8,-12,0,0,0,98.73,3.5
2010,1,2,17,30,-11.8,8,-12,0,0,0,98.73,3.5
2010,1,2,18,30,-11.700000000000001,7,-11.8,0,0,0,98.99000000000001,3.5
2010,1,2,19,30,-11.5,7,-11.600000000000001,0,0,0,99.38,3.5
2010,1,2,20,30,-11.200000000000001,8,-11.200000000000001,0,0,0,100,3.6
2010,1,2,21,30,-10.700000000000001,7,-10.700000000000001,0,0,0,100,3.7
2010,1,2,22,30,-10.100000000000001,7,-10.100000000000001,0,0,0,100,3.9000000000000004
2010,1,2,23,30,-9.600000000000001,7,-9.600000000000001,0,0,0,100,3.8000000000000003
2010,1,3,0,30,-9.3,7,-9.3,0,0,0,100,3.7
2010,1,3,1,30,-9,7,-9,0,0,0,100,3.6
2010,1,3,2,30,-8.700000000000001,7,-8.700000000000001,0,0,0,100,3.5
2010,1,3,3,30,-8.4,7,-8.4,0,0,0,100,3.4000000000000004
2010,1,3,4,30,-8,7,-8,0,0,0,100,3.4000000000000004
2010,1,3,5,30,-7.6000000000000005,7,-7.6000000000000005,0,0,0,100,3.5
2010,1,3,6,30,-7.1000000000000005,7,-7.1000000000000005,0,0,0,100,3.7
2010,1,3,7,30,-6.6000000000000005,7,-6.6000000000000005,0,0,0,100,3.9000000000000004
2010,1,3,8,30,-6.1000000000000005,7,-6.1000000000000005,0,0,0,100,4.1000000000000005
2010,1,3,9,30,-5.6000000000000005,7,-5.6000000000000005,0,0,0,100,4.2
2010,1,3,10,30,-5.1000000000000005,8,-5.1000000000000005,0,0,0,100,4.4
2010,1,3,11,30,-4.5,8,-4.5,24,0,24,100,4.6000000000000005
2010,1,3,12,30,-4.1000000000000005,7,-4.1000000000000005,37,0,37,100,4.9
2010,1,3,13,30,-3.8000000000000003,6,-3.8000000000000003,50,27,54,100,5
2010,1,3,14,30,-3.6,6,-3.6,25,0,25,100,5
2010,1,3,15,30,-3.4000000000000004,7,-3.4000000000000004,18,0,18,100,5.2
2010,1,3,16,30,-3.3000000000000003,7,-3.3000000000000003,0,0,0,100,5.4
2010,1,3,17,30,-3.1,8,-3.1,0,0,0,100,5.6000000000000005
2010,1,3,18,30,-2.8000000000000003,7,-2.8000000000000003,0,0,0,100,5.7
2010,1,3,19,30,-2.5,7,-2.5,0,0,0,100,6
2010,1,3,20,30,-2.2,7,-2.2,0,0,0,100,6.2
2010,1,3,21,30,-2,7,-2,0,0,0,100,6.300000000000001
2010,1,3,22,30,-1.7000000000000002,7,-1.7000000000000002,0,0,0,100,6.4
2010,1,3,23,30,-1.4000000000000001,7,-1.4000000000000001,0,0,0,100,6.800000000000001
2010,1,4,0,30,-1.1,6,-1.1,0,0,0,100,7.2
2010,1,4,1,30,-0.9,6,-0.9,0,0,0,100,7.300000000000001
2010,1,4,2,30,-0.7000000000000001,6,-0.7000000000000001,0,0,0,100,7.2
2010,1,4,3,30,-0.6000000000000001,6,-0.6000000000000001,0,0,0,100,7
2010,1,4,4,30,-0.5,6,-0.5,0,0,0,100,6.9
2010,1,4,5,30,-0.6000000000000001,6,-0.6000000000000001,0,0,0,100,6.9
2010,1,4,6,30,-0.6000000000000001,6,-0.6000000000000001,0,0,0,100,7
2010,1,4,7,30,-0.7000000000000001,6,-0.7000000000000001,0,0,0,100,7.2
2010,1,4,8,30,-0.8,6,-0.8,0,0,0,100,7.4
