Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,-7,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed,Dew Point,Cloud Type
2014,1,1,0,30,9.1,0,0,0,46.19,1.5,-1.9000000000000001,0
2014,1,1,1,30,8.5,0,0,0,47.77,1.5,-2,0
2014,1,1,2,30,8,0,0,0,49.03,1.5,-2.1,0
2014,1,1,3,30,7.5,0,0,0,50.2,1.5,-2.2,0
2014,1,1,4,30,7,0,0,0,51.26,1.5,-2.4000000000000004,0
2014,1,1,5,30,6.6000000000000005,0,0,0,52,1.5,-2.6,0
2014,1,1,6,30,6.300000000000001,0,0,0,52.39,1.5,-2.7,1
2014,1,1,7,30,7.800000000000001,0,0,0,47.02,1.5,-2.8000000000000003,1
2014,1,1,8,30,11.200000000000001,40,598,139,42.71,2.1,-1,0
2014,1,1,9,30,14.5,58,802,318,31.67,2.5,-2.2,0
2014,1,1,10,30,17.5,67,894,467,25.740000000000002,2.1,-2.4000000000000004,0
2014,1,1,11,30,19.900000000000002,77,915,558,21.21,1.5,-3,0
2014,1,1,12,30,21.3,77,933,594,19.21,0.7000000000000001,-3.1,0
2014,1,1,13,30,22.200000000000003,73,929,565,18.19,0.5,-3.1,0
2014,1,1,14,30,22.400000000000002,71,882,471,18.29,0.6000000000000001,-2.9000000000000004,0
2014,1,1,15,30,21,60,801,327,21.25,0.6000000000000001,-2,0
2014,1,1,16,30,19.8,41,617,150,35.800000000000004,0.7000000000000001,4.2,0
2014,1,1,17,30,15.4,0,0,0,38.24,1,1.2000000000000002,0
2014,1,1,18,30,13.3,0,0,0,43.28,1.2000000000000002,1.1,0
2014,1,1,19,30,11.600000000000001,0,0,0,49.38,1.4000000000000001,1.3,0
2014,1,1,20,30,10.600000000000001,0,0,0,51.95,1.9000000000000001,1.1,0
2014,1,1,21,30,9.9,0,0,0,53.22,2.6,0.8,0
2014,1,1,22,30,9.200000000000001,0,0,0,54.620000000000005,3.2,0.5,0
2014,1,1,23,30,8.5,0,0,0,55.15,3.4000000000000004,0,0
2014,1,2,0,30,7.800000000000001,0,0,0,54.21,3.3000000000000003,-0.9,0
2014,1,2,1,30,7.4,0,0,0,52.33,3.4000000000000004,-1.7000000000000002,0
2014,1,2,2,30,7.2,0,0,0,50.89,3.6,-2.3000000000000003,0
2014,1,2,3,30,7.2,0,0,0,49.85,3.8000000000000003,-2.6,0
2014,1,2,4,30,7.2,0,0,0,49.14,4,-2.8000000000000003,0
2014,1,2,5,30,7.4,0,0,0,47.09,4.1000000000000005,-3.2,0
2014,1,2,6,30,7.7,0,0,0,43.86,4,-3.8000000000000003,1
2014,1,2,7,30,9.200000000000001,0,0,0,37.43,4.1000000000000005,-4.6000000000000005,1
2014,1,2,8,30,12.3,38,629,142,29.69,4.2,-4.9,0
2014,1,2,9,30,16,55,823,322,24.12,4,-4.5,0
2014,1,2,10,30,19.6,65,908,472,19.89,4.1000000000000005,-4.1000000000000005,0
2014,1,2,11,30,22,78,919,562,17.400000000000002,4.1000000000000005,-3.9000000000000004,0
2014,1,2,12,30,23.400000000000002,80,934,598,17.05,3.7,-3,0
2014,1,2,13,30,24,78,924,569,17.19,3.3000000000000003,-2.4000000000000004,0
2014,1,2,14,30,23.900000000000002,75,877,475,17.98,2.8000000000000003,-1.9000000000000001,0
2014,1,2,15,30,21.8,79,623,288,22.79,1.7000000000000002,-0.4,3
2014,1,2,16,30,20.1,58,329,116,39.1,1,5.7,8
2014,1,2,17,30,16.7,0,0,0,40.07,1.4000000000000001,3.1,7
2014,1,2,18,30,15.600000000000001,0,0,0,40.99,1.5,2.4000000000000004,4
2014,1,2,19,30,14.4,0,0,0,43.31,1.7000000000000002,2.1,1
2014,1,2,20,30,13.3,0,0,0,45.04,1.8,1.6,0
2014,1,2,21,30,12.3,0,0,0,46.74,1.8,1.2000000000000002,0
2014,1,2,22,30,11.5,0,0,0,47.75,1.8,0.8,3
2014,1,2,23,30,10.8,0,0,0,48.61,1.9000000000000001,0.4,0
