Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,777900,-,-,-,44.97,-93.26,-6,256,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed
2021,1,1,0,30,-8.9,7,-10,0,0,0,91.89,2.8000000000000003
2021,1,1,1,30,-9.1,4,-10.3,0,0,0,90.87,2.6
2021,1,1,2,30,-9.200000000000001,4,-10.600000000000001,0,0,0,89.8,2.7
2021,1,1,3,30,-9.4,4,-10.700000000000001,0,0,0,90.19,2.6
2021,1,1,4,30,-9.600000000000001,0,-11,0,0,0,89.7,2.3000000000000003
2021,1,1,5,30,-10.100000000000001,4,-11.4,0,0,0,90.36,1.9000000000000001
2021,1,1,6,30,-10.5,0,-11.9,0,0,0,89.75,1.5
2021,1,1,7,30,-10.8,4,-12.4,0,0,0,88.27,1.2000000000000002
2021,1,1,8,30,-10.100000000000001,0,-12.4,32,291,57,83.41,0.9
2021,1,1,9,30,-9.1,7,-11.4,69,340,141,83.54,0.7000000000000001
2021,1,1,10,30,-8.1,7,-10.700000000000001,70,614,259,81.7,0.8
2021,1,1,11,30,-7,7,-9.9,70,703,325,80.09,0.8
2021,1,1,12,30,-5.9,7,-8.9,73,705,338,79.16,0.8
2021,1,1,13,30,-5.300000000000001,7,-8.200000000000001,57,756,317,79.92,1.2000000000000002
2021,1,1,14,30,-5.5,4,-7.9,67,558,218,82.9,1.2000000000000002
