climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Alaska,High,0.75,0.9,0,1,inner_val,125.56,113.654,210.625,0.0,28032.4324,21383.662,664.87704,0.0,664.87704
Alaska,High,0.75,0.9,0,2,inner_val,127.861,100.844,203.568,0.0,25868.9084,21102.642,476.62664000000007,0.0,476.62664000000007
Alaska,High,0.75,0.9,0,3,inner_val,130.915,105.602,196.858,0.0,24672.451,21589.704,308.27470000000005,0.0,308.27470000000005
Alaska,High,0.75,0.9,0,4,inner_val,131.104,108.901,189.859,0.0,23180.857,21686.434,149.4423,0.0,149.4423
Alaska,High,0.75,0.9,0,-1,outer_test,126.281,106.013,191.397,0.0,32210.334600000002,21027.86,1118.24746,0.0,1118.24746
Alaska,High,0.75,0.9,1,0,inner_val,125.56,113.654,210.625,0.0,32145.926799999997,21383.662,1076.22648,0.0,1076.22648
Alaska,High,0.75,0.9,1,2,inner_val,149.742,134.998,316.53,0.0,27155.399599999997,25803.381,135.20186,0.0,135.20186
Alaska,High,0.75,0.9,1,3,inner_val,151.937,137.723,341.425,0.0,27141.482,26349.659999999996,79.1822,0.0,79.1822
Alaska,High,0.75,0.9,1,4,inner_val,151.937,137.723,341.425,0.0,26715.346,26349.659999999996,36.568599999999996,0.0,36.568599999999996
Alaska,High,0.75,0.9,1,-1,outer_test,144.337,128.099,257.508,0.0,28200.4412,24468.033,373.2408199999999,0.0,373.2408199999999
Alaska,High,0.75,0.9,2,0,inner_val,127.861,100.844,203.568,0.0,32185.860600000004,21102.642,1108.3218599999998,0.0,1108.3218599999998
Alaska,High,0.75,0.9,2,1,inner_val,149.742,134.998,316.53,0.0,28662.599200000004,25803.381,285.92182,0.0,285.92182
Alaska,High,0.75,0.9,2,3,inner_val,151.937,137.723,341.425,0.0,27141.482,26349.659999999996,79.1822,0.0,79.1822
Alaska,High,0.75,0.9,2,4,inner_val,151.937,137.723,341.425,0.0,26715.346,26349.659999999996,36.568599999999996,0.0,36.568599999999996
Alaska,High,0.75,0.9,2,-1,outer_test,144.966,129.236,261.797,0.0,26427.233200000006,24616.973,181.02602,0.0,181.02602
Alaska,High,0.75,0.9,3,0,inner_val,130.915,105.602,196.858,0.0,32032.284600000003,21589.704,1044.25806,0.0,1044.25806
Alaska,High,0.75,0.9,3,1,inner_val,151.937,137.723,341.425,0.0,28937.372599999995,26349.659999999996,258.77126,0.0,258.77126
Alaska,High,0.75,0.9,3,2,inner_val,151.937,137.723,341.425,0.0,27507.561599999997,26349.659999999996,115.79015999999999,0.0,115.79015999999999
Alaska,High,0.75,0.9,3,4,inner_val,151.937,137.723,341.425,0.0,26715.346,26349.659999999996,36.568599999999996,0.0,36.568599999999996
Alaska,High,0.75,0.9,3,-1,outer_test,146.247,132.313,272.275,0.0,26091.1926,24962.777,112.84155999999999,0.0,112.84155999999999
Alaska,High,0.75,0.9,4,0,inner_val,131.104,108.901,189.859,0.0,32002.6218,21686.434,1031.61878,0.0,1031.61878
Alaska,High,0.75,0.9,4,1,inner_val,151.937,137.723,341.425,0.0,28937.372599999995,26349.659999999996,258.77126,0.0,258.77126
Alaska,High,0.75,0.9,4,2,inner_val,151.937,137.723,341.425,0.0,27507.561599999997,26349.659999999996,115.79015999999999,0.0,115.79015999999999
Alaska,High,0.75,0.9,4,3,inner_val,151.937,137.723,341.425,0.0,27141.482,26349.659999999996,79.1822,0.0,79.1822
Alaska,High,0.75,0.9,4,-1,outer_test,146.844,133.744,277.152,0.0,25624.266000000003,25123.774,50.0492,0.0,50.0492
