climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Alaska,High,0.0,0.8,0,1,inner_val,115.266,105.976,227.471,0.0,28405.372199999994,20021.374,838.39982,0.0,838.39982
Alaska,High,0.0,0.8,0,2,inner_val,113.793,100.322,205.958,0.0,26284.703,19471.02,681.3683,0.0,681.3683
Alaska,High,0.0,0.8,0,3,inner_val,124.724,105.558,183.707,0.0,24501.199,20772.242,372.8957,0.0,372.8957
Alaska,High,0.0,0.8,0,4,inner_val,124.609,115.756,218.484,0.0,23084.500600000003,21413.65,167.08506000000003,0.0,167.08506000000003
Alaska,High,0.0,0.8,0,-1,outer_test,120.352,108.726,209.8,0.0,32403.8162,20584.002,1181.98142,0.0,1181.98142
Alaska,High,0.0,0.8,1,0,inner_val,115.266,105.976,227.471,0.0,32681.563399999995,20021.374,1266.01894,0.0,1266.01894
Alaska,High,0.0,0.8,1,2,inner_val,117.521,99.941,196.442,0.0,26138.8982,19816.682,632.22162,0.0,632.22162
Alaska,High,0.0,0.8,1,3,inner_val,125.859,108.639,188.399,0.0,24513.090999999997,21057.867,345.52240000000006,0.0,345.52240000000006
Alaska,High,0.0,0.8,1,4,inner_val,125.88,117.729,255.927,0.0,23377.004399999998,21918.049,145.89554,0.0,145.89554
Alaska,High,0.0,0.8,1,-1,outer_test,121.004,109.25,222.268,0.0,28167.793400000002,20773.323,739.44704,0.0,739.44704
Alaska,High,0.0,0.8,2,0,inner_val,113.793,100.322,205.958,0.0,32835.135800000004,19471.02,1336.41158,0.0,1336.41158
Alaska,High,0.0,0.8,2,1,inner_val,117.521,99.941,196.442,0.0,28355.079999999998,19816.682,853.8398,0.0,853.8398
Alaska,High,0.0,0.8,2,3,inner_val,128.114,101.238,175.611,0.0,24655.5426,20937.337,371.82056,0.0,371.82056
Alaska,High,0.0,0.8,2,4,inner_val,132.671,114.25,209.885,0.0,23508.3424,22224.74,128.36023999999998,0.0,128.36023999999998
Alaska,High,0.0,0.8,2,-1,outer_test,124.324,103.824,206.204,0.0,25840.954,20827.809,501.31450000000007,0.0,501.31450000000007
Alaska,High,0.0,0.8,3,0,inner_val,124.724,105.558,183.707,0.0,32286.6984,20772.242,1151.44564,0.0,1151.44564
Alaska,High,0.0,0.8,3,1,inner_val,125.859,108.639,188.399,0.0,28010.687399999995,21057.867,695.2820399999999,0.0,695.2820399999999
Alaska,High,0.0,0.8,3,2,inner_val,128.114,101.238,175.611,0.0,25935.3472,20937.337,499.80102,0.0,499.80102
Alaska,High,0.0,0.8,3,4,inner_val,136.373,115.638,208.755,0.0,23788.382400000002,22698.626,108.97564,0.0,108.97564
Alaska,High,0.0,0.8,3,-1,outer_test,127.835,109.027,192.248,0.0,24568.844599999997,21330.601,323.82435999999996,0.0,323.82435999999996
Alaska,High,0.0,0.8,4,0,inner_val,124.609,115.756,218.484,0.0,32156.594,21413.65,1074.2944,0.0,1074.2944
Alaska,High,0.0,0.8,4,1,inner_val,125.88,117.729,255.927,0.0,28140.928599999996,21918.049,622.28796,0.0,622.28796
Alaska,High,0.0,0.8,4,2,inner_val,132.671,114.25,209.885,0.0,25715.970600000004,22224.74,349.12306,0.0,349.12306
Alaska,High,0.0,0.8,4,3,inner_val,136.373,115.638,208.755,0.0,24926.0726,22698.626,222.74465999999998,0.0,222.74465999999998
Alaska,High,0.0,0.8,4,-1,outer_test,130.42,117.172,220.557,0.0,23489.602600000002,22156.928,133.26745999999997,0.0,133.26745999999997
