climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Alaska,Low,0.25,0.8,0,1,inner_val,18.5,10.712,71.871,0.0,9576.670399999999,3967.8589999999995,5496.332,3.7493066666666666,5500.081306666667
Alaska,Low,0.25,0.8,0,2,inner_val,17.291,11.125,69.239,0.0,10304.7312,3824.0199999999995,6412.651199999999,2.2686666666666664,6414.919866666666
Alaska,Low,0.25,0.8,0,3,inner_val,18.659,10.466,75.022,0.0,8732.3604,4000.4260000000004,4678.633400000001,1.7767000000000002,4680.410100000001
Alaska,Low,0.25,0.8,0,4,inner_val,18.263,11.175,72.662,0.0,8356.888199999998,3964.221,4382.5686,0.33662,4382.90522
Alaska,Low,0.25,0.8,0,-1,outer_test,18.324,10.78,71.387,0.0,10324.896799999999,3946.4669999999996,6107.213,9.040566666666667,6116.253566666666
Alaska,Low,0.25,0.8,1,0,inner_val,18.5,10.712,71.871,0.0,10323.387200000001,3967.8589999999995,6089.5742,8.86514,6098.43934
Alaska,Low,0.25,0.8,1,2,inner_val,18.354,13.973,54.092,0.0,10311.460599999999,3943.416,6347.459199999999,0.6861733333333332,6348.145373333333
Alaska,Low,0.25,0.8,1,3,inner_val,19.02,11.656,68.794,0.0,8736.0008,4041.44,4667.1778,0.9127666666666666,4668.090566666667
Alaska,Low,0.25,0.8,1,4,inner_val,18.664,12.097,66.816,0.0,8368.068,4002.388,4362.1378,0.11807333333333332,4362.2558733333335
Alaska,Low,0.25,0.8,1,-1,outer_test,18.664,12.097,65.703,0.0,9589.654,3994.035,5499.2318,3.212906666666667,5502.444706666666
Alaska,Low,0.25,0.8,2,0,inner_val,17.291,11.125,69.239,0.0,10338.2844,3824.0199999999995,6208.994000000001,10.17568,6219.169680000001
Alaska,Low,0.25,0.8,2,1,inner_val,18.354,13.973,54.092,0.0,9603.258,3943.416,5581.2234,2.6206266666666664,5583.844026666667
Alaska,Low,0.25,0.8,2,3,inner_val,18.086,13.66,57.302,0.0,8737.342800000002,3924.3830000000003,4801.0484,0.39703999999999995,4801.4454399999995
Alaska,Low,0.25,0.8,2,4,inner_val,17.727,14.349,55.023,0.0,8401.1734,3892.299,4507.752,0.03741333333333333,4507.789413333334
Alaska,Low,0.25,0.8,2,-1,outer_test,18.138,13.912,56.82,0.0,10308.408599999999,3936.517,6349.2454,0.7548666666666666,6350.000266666667
Alaska,Low,0.25,0.8,3,0,inner_val,18.659,10.466,75.022,0.0,10332.1166,4000.4260000000004,6060.7004,9.033,6069.7334
Alaska,Low,0.25,0.8,3,1,inner_val,19.02,11.656,68.794,0.0,9591.8262,4041.44,5451.9336,3.28176,5455.21536
Alaska,Low,0.25,0.8,3,2,inner_val,18.086,13.66,57.302,0.0,10306.5492,3924.3830000000003,6357.0044,0.83874,6357.84314
Alaska,Low,0.25,0.8,3,4,inner_val,18.691,12.063,67.427,0.0,8367.796400000001,4008.7879999999996,4355.3018,0.12354666666666667,4355.425346666667
Alaska,Low,0.25,0.8,3,-1,outer_test,18.831,11.886,68.865,0.0,8734.3174,4028.9620000000004,4679.0868,0.8756266666666667,4679.962426666667
Alaska,Low,0.25,0.8,4,0,inner_val,18.263,11.175,72.662,0.0,10317.554,3964.221,6099.446399999999,8.462873333333333,6107.909273333332
Alaska,Low,0.25,0.8,4,1,inner_val,18.664,12.097,66.816,0.0,9589.2924,4002.388,5490.5174,3.212906666666667,5493.730306666666
Alaska,Low,0.25,0.8,4,2,inner_val,17.727,14.349,55.023,0.0,10314.925599999999,3892.299,6400.766,0.7286733333333333,6401.494673333333
Alaska,Low,0.25,0.8,4,3,inner_val,18.691,12.063,67.427,0.0,8733.1842,4008.7879999999996,4699.022599999999,0.84578,4699.868379999999
Alaska,Low,0.25,0.8,4,-1,outer_test,18.474,12.42,66.845,0.0,8371.7196,3993.0690000000004,4375.6521999999995,0.09994666666666667,4375.752146666666
