climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Alaska,Low,1.0,0.95,0,1,inner_val,22.811,13.417,93.822,0.0,9702.0384,4736.353,4914.347,1.71128,4916.05828
Alaska,Low,1.0,0.95,0,2,inner_val,19.519,21.591,54.38,0.0,10429.2232,4374.627,6054.5962,0.0,6054.5962
Alaska,Low,1.0,0.95,0,3,inner_val,22.811,13.417,93.822,0.0,8889.9264,4736.353,4153.573399999999,0.0,4153.573399999999
Alaska,Low,1.0,0.95,0,4,inner_val,22.811,13.417,93.822,0.0,8487.119,4736.353,3750.7660000000005,0.0,3750.7660000000005
Alaska,Low,1.0,0.95,0,-1,outer_test,22.811,13.417,93.822,0.0,10417.0192,4736.353,5585.0762,3.186333333333333,5588.2625333333335
Alaska,Low,1.0,0.95,1,0,inner_val,22.811,13.417,93.822,0.0,10417.0192,4736.353,5585.0762,3.186333333333333,5588.2625333333335
Alaska,Low,1.0,0.95,1,2,inner_val,19.591,11.008,68.971,0.0,10289.2606,4083.886,6159.826800000001,1.5182666666666664,6161.345066666668
Alaska,Low,1.0,0.95,1,3,inner_val,19.591,11.008,68.971,0.0,8745.645199999999,4083.886,4629.2652,1.0831333333333333,4630.348333333333
Alaska,Low,1.0,0.95,1,4,inner_val,19.591,11.008,68.971,0.0,8364.9494,4083.886,4272.3678,0.28985333333333335,4272.657653333334
Alaska,Low,1.0,0.95,1,-1,outer_test,19.591,11.008,68.971,0.0,9598.211800000001,4083.886,5413.194,3.3710666666666667,5416.565066666667
Alaska,Low,1.0,0.95,2,0,inner_val,19.519,21.591,54.38,0.0,10347.926000000001,4374.627,5936.8262,1.2157533333333332,5938.041953333333
Alaska,Low,1.0,0.95,2,1,inner_val,19.591,11.008,68.971,0.0,9598.211800000001,4083.886,5413.194,3.3710666666666667,5416.565066666667
Alaska,Low,1.0,0.95,2,3,inner_val,19.591,11.008,68.971,0.0,8745.645199999999,4083.886,4629.2652,1.0831333333333333,4630.348333333333
Alaska,Low,1.0,0.95,2,4,inner_val,19.591,11.008,68.971,0.0,8364.9494,4083.886,4272.3678,0.28985333333333335,4272.657653333334
Alaska,Low,1.0,0.95,2,-1,outer_test,19.591,11.008,68.971,0.0,10289.2606,4083.886,6159.826800000001,1.5182666666666664,6161.345066666668
Alaska,Low,1.0,0.95,3,0,inner_val,22.811,13.417,93.822,0.0,10417.0192,4736.353,5585.0762,3.186333333333333,5588.2625333333335
Alaska,Low,1.0,0.95,3,1,inner_val,19.591,11.008,68.971,0.0,9598.211800000001,4083.886,5413.194,3.3710666666666667,5416.565066666667
Alaska,Low,1.0,0.95,3,2,inner_val,19.591,11.008,68.971,0.0,10289.2606,4083.886,6159.826800000001,1.5182666666666664,6161.345066666668
Alaska,Low,1.0,0.95,3,4,inner_val,19.591,11.008,68.971,0.0,8364.9494,4083.886,4272.3678,0.28985333333333335,4272.657653333334
Alaska,Low,1.0,0.95,3,-1,outer_test,19.591,11.008,68.971,0.0,8745.645199999999,4083.886,4629.2652,1.0831333333333333,4630.348333333333
Alaska,Low,1.0,0.95,4,0,inner_val,22.811,13.417,93.822,0.0,10417.0192,4736.353,5585.0762,3.186333333333333,5588.2625333333335
Alaska,Low,1.0,0.95,4,1,inner_val,19.591,11.008,68.971,0.0,9598.211800000001,4083.886,5413.194,3.3710666666666667,5416.565066666667
Alaska,Low,1.0,0.95,4,2,inner_val,19.591,11.008,68.971,0.0,10289.2606,4083.886,6159.826800000001,1.5182666666666664,6161.345066666668
Alaska,Low,1.0,0.95,4,3,inner_val,19.591,11.008,68.971,0.0,8745.645199999999,4083.886,4629.2652,1.0831333333333333,4630.348333333333
Alaska,Low,1.0,0.95,4,-1,outer_test,19.591,11.008,68.971,0.0,8364.9494,4083.886,4272.3678,0.28985333333333335,4272.657653333334
