climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Alaska,Med,0.75,0.95,0,1,inner_val,57.965,41.207,131.063,0.0,18264.9976,10160.425,2701.5242,0.0,2701.5242
Alaska,Med,0.75,0.95,0,2,inner_val,47.781,33.241,147.043,0.0,18850.569799999997,8793.259,3352.436933333334,0.0,3352.436933333334
Alaska,Med,0.75,0.95,0,3,inner_val,49.31,33.861,145.47,0.0,15922.566200000001,8982.484,2313.3607333333334,0.0,2313.3607333333334
Alaska,Med,0.75,0.95,0,4,inner_val,48.91,33.237,148.518,0.0,14315.644,8934.939,1793.5683333333334,0.0,1793.5683333333334
Alaska,Med,0.75,0.95,0,-1,outer_test,48.568,32.889,150.07,0.0,20208.619400000003,8893.54,3771.6931333333328,0.0,3771.6931333333328
Alaska,Med,0.75,0.95,1,0,inner_val,57.965,41.207,131.063,0.0,20209.5418,10160.425,3349.7056,0.0,3349.7056
Alaska,Med,0.75,0.95,1,2,inner_val,59.856,42.86,143.028,0.0,18689.485,10533.064,2718.8070000000002,0.0,2718.8070000000002
Alaska,Med,0.75,0.95,1,3,inner_val,60.506,45.415,145.902,0.0,16305.831199999997,10728.562,1859.0897333333332,0.0,1859.0897333333332
Alaska,Med,0.75,0.95,1,4,inner_val,60.183,46.161,145.686,0.0,14721.836800000001,10718.332,1334.5016,0.0,1334.5016
Alaska,Med,0.75,0.95,1,-1,outer_test,59.846,44.898,145.465,0.0,18352.285799999998,10628.879,2574.468933333333,0.0,2574.468933333333
Alaska,Med,0.75,0.95,2,0,inner_val,47.781,33.241,147.043,0.0,20217.9274,8793.259,3808.2227999999996,0.0,3808.2227999999996
Alaska,Med,0.75,0.95,2,1,inner_val,59.856,42.86,143.028,0.0,18328.4398,10533.064,2598.4586,0.0,2598.4586
Alaska,Med,0.75,0.95,2,3,inner_val,60.403,42.861,144.384,0.0,16265.439599999998,10606.635,1886.2682000000002,0.0,1886.2682000000002
Alaska,Med,0.75,0.95,2,4,inner_val,59.938,44.416,145.526,0.0,14678.8802,10621.383,1352.4990666666667,0.0,1352.4990666666667
Alaska,Med,0.75,0.95,2,-1,outer_test,59.854,43.22,143.555,0.0,18687.9222,10550.687,2712.4117333333334,0.0,2712.4117333333334
Alaska,Med,0.75,0.95,3,0,inner_val,49.31,33.861,145.47,0.0,20198.017200000002,8982.484,3738.5110666666665,0.0,3738.5110666666665
Alaska,Med,0.75,0.95,3,1,inner_val,60.506,45.415,145.902,0.0,18374.222799999996,10728.562,2548.5535999999997,0.0,2548.5535999999997
Alaska,Med,0.75,0.95,3,2,inner_val,60.403,42.861,144.384,0.0,18694.261600000005,10606.635,2695.8755333333334,0.0,2695.8755333333334
Alaska,Med,0.75,0.95,3,4,inner_val,60.32,45.844,145.778,0.0,14721.0668,10722.651,1332.8052666666667,0.0,1332.8052666666667
Alaska,Med,0.75,0.95,3,-1,outer_test,60.446,45.554,145.862,0.0,16305.574800000002,10726.679,1859.6319333333333,0.0,1859.6319333333333
Alaska,Med,0.75,0.95,4,0,inner_val,48.91,33.237,148.518,0.0,20203.9228,8934.939,3756.3279333333335,0.0,3756.3279333333335
Alaska,Med,0.75,0.95,4,1,inner_val,60.183,46.161,145.686,0.0,18374.730799999998,10718.332,2552.1329333333333,0.0,2552.1329333333333
Alaska,Med,0.75,0.95,4,2,inner_val,59.938,44.416,145.526,0.0,18684.727,10621.383,2687.7813333333334,0.0,2687.7813333333334
Alaska,Med,0.75,0.95,4,3,inner_val,60.32,45.844,145.778,0.0,16305.119,10722.651,1860.822666666667,0.0,1860.822666666667
Alaska,Med,0.75,0.95,4,-1,outer_test,60.189,46.147,145.69,0.0,14721.800400000002,10718.516,1334.4281333333336,0.0,1334.4281333333336
