climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Alaska,Med,1.0,0.95,0,1,inner_val,58.926,43.887,124.741,0.0,18300.1922,10327.753,2657.479733333333,0.0,2657.479733333333
Alaska,Med,1.0,0.95,0,2,inner_val,48.307,32.831,150.07,0.0,18837.277,8861.071,3325.4020000000005,0.0,3325.4020000000005
Alaska,Med,1.0,0.95,0,3,inner_val,48.568,32.889,150.07,0.0,15913.297600000002,8893.54,2339.9192,0.0,2339.9192
Alaska,Med,1.0,0.95,0,4,inner_val,48.568,32.889,150.07,0.0,14313.771800000002,8893.54,1806.7439333333332,0.0,1806.7439333333332
Alaska,Med,1.0,0.95,0,-1,outer_test,48.568,32.889,150.07,0.0,20208.619400000003,8893.54,3771.6931333333328,0.0,3771.6931333333328
Alaska,Med,1.0,0.95,1,0,inner_val,58.926,43.887,124.741,0.0,20232.5152,10327.753,3301.5874000000003,0.0,3301.5874000000003
Alaska,Med,1.0,0.95,1,2,inner_val,72.254,56.092,110.52,0.0,18910.8744,12235.928,2224.982133333333,0.0,2224.982133333333
Alaska,Med,1.0,0.95,1,3,inner_val,72.254,56.092,110.52,0.0,16892.8052,12235.928,1552.2924000000003,0.0,1552.2924000000003
Alaska,Med,1.0,0.95,1,4,inner_val,72.254,56.092,110.52,0.0,15392.8378,12235.928,1052.3032666666666,0.0,1052.3032666666666
Alaska,Med,1.0,0.95,1,-1,outer_test,72.254,56.092,110.52,0.0,18786.8842,12235.928,2183.6520666666665,0.0,2183.6520666666665
Alaska,Med,1.0,0.95,2,0,inner_val,48.307,32.831,150.07,0.0,20211.8192,8861.071,3783.582733333333,0.0,3783.582733333333
Alaska,Med,1.0,0.95,2,1,inner_val,72.254,56.092,110.52,0.0,18786.8842,12235.928,2183.6520666666665,0.0,2183.6520666666665
Alaska,Med,1.0,0.95,2,3,inner_val,72.254,56.092,110.52,0.0,16892.8052,12235.928,1552.2924000000003,0.0,1552.2924000000003
Alaska,Med,1.0,0.95,2,4,inner_val,72.254,56.092,110.52,0.0,15392.8378,12235.928,1052.3032666666666,0.0,1052.3032666666666
Alaska,Med,1.0,0.95,2,-1,outer_test,72.254,56.092,110.52,0.0,18910.8744,12235.928,2224.982133333333,0.0,2224.982133333333
Alaska,Med,1.0,0.95,3,0,inner_val,48.568,32.889,150.07,0.0,20208.619400000003,8893.54,3771.6931333333328,0.0,3771.6931333333328
Alaska,Med,1.0,0.95,3,1,inner_val,72.254,56.092,110.52,0.0,18786.8842,12235.928,2183.6520666666665,0.0,2183.6520666666665
Alaska,Med,1.0,0.95,3,2,inner_val,72.254,56.092,110.52,0.0,18910.8744,12235.928,2224.982133333333,0.0,2224.982133333333
Alaska,Med,1.0,0.95,3,4,inner_val,72.254,56.092,110.52,0.0,15392.8378,12235.928,1052.3032666666666,0.0,1052.3032666666666
Alaska,Med,1.0,0.95,3,-1,outer_test,72.254,56.092,110.52,0.0,16892.8052,12235.928,1552.2924000000003,0.0,1552.2924000000003
Alaska,Med,1.0,0.95,4,0,inner_val,48.568,32.889,150.07,0.0,20208.619400000003,8893.54,3771.6931333333328,0.0,3771.6931333333328
Alaska,Med,1.0,0.95,4,1,inner_val,72.254,56.092,110.52,0.0,18786.8842,12235.928,2183.6520666666665,0.0,2183.6520666666665
Alaska,Med,1.0,0.95,4,2,inner_val,72.254,56.092,110.52,0.0,18910.8744,12235.928,2224.982133333333,0.0,2224.982133333333
Alaska,Med,1.0,0.95,4,3,inner_val,72.254,56.092,110.52,0.0,16892.8052,12235.928,1552.2924000000003,0.0,1552.2924000000003
Alaska,Med,1.0,0.95,4,-1,outer_test,72.254,56.092,110.52,0.0,15392.8378,12235.928,1052.3032666666666,0.0,1052.3032666666666
