climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,High,0.9,0.9,0,1,inner_val,7.819,19.132,39.678,3.41,3128.0109999999995,2839.807,28.8204,0.0,28.8204
Arizona,High,0.9,0.9,0,2,inner_val,9.047,20.069,50.739,3.41,3143.2884,3101.227,4.2061399999999995,0.0,4.2061399999999995
Arizona,High,0.9,0.9,0,3,inner_val,9.047,20.069,50.739,3.41,3152.5221999999994,3101.227,5.12952,0.0,5.12952
Arizona,High,0.9,0.9,0,4,inner_val,7.553,20.575,51.539,3.048,3125.3468000000003,2951.01,17.43368,0.0,17.43368
Arizona,High,0.9,0.9,0,-1,outer_test,7.595,20.435,51.922,3.41,3097.6936,2956.061,14.16326,0.0,14.16326
Arizona,High,0.9,0.9,1,0,inner_val,7.819,19.132,39.678,3.41,3072.5086,2839.807,23.27016,0.0,23.27016
Arizona,High,0.9,0.9,1,2,inner_val,9.223,18.163,49.774,3.41,3114.094,3040.783,7.331100000000001,0.0,7.331100000000001
Arizona,High,0.9,0.9,1,3,inner_val,9.223,18.163,49.774,3.41,3112.1947999999998,3040.783,7.14118,0.0,7.14118
Arizona,High,0.9,0.9,1,4,inner_val,6.892,18.308,58.319,4.753,3116.3336,2850.607,26.572660000000003,0.0,26.572660000000003
Arizona,High,0.9,0.9,1,-1,outer_test,7.655,18.375,56.509,3.41,3111.5822,2917.904,19.367820000000002,0.0,19.367820000000002
Arizona,High,0.9,0.9,2,0,inner_val,9.047,20.069,50.739,3.41,3188.218,3101.227,8.699100000000001,0.0,8.699100000000001
Arizona,High,0.9,0.9,2,1,inner_val,9.223,18.163,49.774,3.41,3211.5126,3040.783,17.072960000000002,0.0,17.072960000000002
Arizona,High,0.9,0.9,2,3,inner_val,9.115,19.708,50.467,3.41,3145.9518,3093.125,5.282680000000001,0.0,5.282680000000001
Arizona,High,0.9,0.9,2,4,inner_val,7.489,19.501,53.395,5.516,3119.6153999999997,2934.584,18.50314,0.0,18.50314
Arizona,High,0.9,0.9,2,-1,outer_test,7.733,20.364,52.114,3.41,3033.1926,2970.744,6.24486,0.0,6.24486
Arizona,High,0.9,0.9,3,0,inner_val,9.047,20.069,50.739,3.41,3188.218,3101.227,8.699100000000001,0.0,8.699100000000001
Arizona,High,0.9,0.9,3,1,inner_val,9.223,18.163,49.774,3.41,3211.5126,3040.783,17.072960000000002,0.0,17.072960000000002
Arizona,High,0.9,0.9,3,2,inner_val,9.115,19.708,50.467,3.41,3137.3164,3093.125,4.4191400000000005,0.0,4.4191400000000005
Arizona,High,0.9,0.9,3,4,inner_val,7.489,19.501,53.395,5.516,3119.6153999999997,2934.584,18.50314,0.0,18.50314
Arizona,High,0.9,0.9,3,-1,outer_test,7.755,20.346,52.164,3.41,3031.3158,2972.973,5.83428,0.0,5.83428
Arizona,High,0.9,0.9,4,0,inner_val,7.553,20.575,51.539,3.048,3095.3430000000003,2951.01,14.4333,0.0,14.4333
Arizona,High,0.9,0.9,4,1,inner_val,6.892,18.308,58.319,4.753,3093.4622,2850.607,24.285519999999998,0.0,24.285519999999998
Arizona,High,0.9,0.9,4,2,inner_val,7.489,19.501,53.395,5.516,3009.2576,2934.584,7.467359999999999,0.0,7.467359999999999
Arizona,High,0.9,0.9,4,3,inner_val,7.489,19.501,53.395,5.516,2999.3998,2934.584,6.481579999999999,0.0,6.481579999999999
Arizona,High,0.9,0.9,4,-1,outer_test,7.45,18.851,54.5,5.516,3117.2544000000003,2913.265,20.39894,0.0,20.39894
