climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,High,1.0,0.9,0,1,inner_val,8.12,18.989,37.171,3.41,3161.8726000000006,2850.333,31.153959999999994,0.0,31.153959999999994
Arizona,High,1.0,0.9,0,2,inner_val,9.073,20.065,52.717,3.41,3157.7668,3118.93,3.8836799999999996,0.0,3.8836799999999996
Arizona,High,1.0,0.9,0,3,inner_val,9.073,20.065,52.717,3.41,3167.8654,3118.93,4.89354,0.0,4.89354
Arizona,High,1.0,0.9,0,4,inner_val,7.553,20.575,51.539,3.048,3125.3468000000003,2951.01,17.43368,0.0,17.43368
Arizona,High,1.0,0.9,0,-1,outer_test,8.929,20.201,52.561,3.41,3188.3162,3106.331,8.19852,0.0,8.19852
Arizona,High,1.0,0.9,1,0,inner_val,8.12,18.989,37.171,3.41,3093.593,2850.333,24.326,0.0,24.326
Arizona,High,1.0,0.9,1,2,inner_val,9.419,18.441,48.889,3.41,3133.181,3067.576,6.5605,0.0,6.5605
Arizona,High,1.0,0.9,1,3,inner_val,9.419,18.441,48.889,3.41,3134.9871999999996,3067.576,6.7411200000000004,0.0,6.7411200000000004
Arizona,High,1.0,0.9,1,4,inner_val,7.244,18.239,63.791,4.753,3148.3689999999997,2929.781,21.858800000000002,0.0,21.858800000000002
Arizona,High,1.0,0.9,1,-1,outer_test,8.814,17.767,51.789,3.41,3192.0224000000003,2993.246,19.877640000000003,0.0,19.877640000000003
Arizona,High,1.0,0.9,2,0,inner_val,9.073,20.065,52.717,3.41,3198.5917999999997,3118.93,7.96618,0.0,7.96618
Arizona,High,1.0,0.9,2,1,inner_val,9.419,18.441,48.889,3.41,3224.049,3067.576,15.647300000000001,0.0,15.647300000000001
Arizona,High,1.0,0.9,2,3,inner_val,9.092,19.685,51.986,3.41,3152.3037999999997,3100.973,5.13308,0.0,5.13308
Arizona,High,1.0,0.9,2,4,inner_val,7.489,19.501,53.395,5.516,3119.6153999999997,2934.584,18.50314,0.0,18.50314
Arizona,High,1.0,0.9,2,-1,outer_test,8.928,19.52,54.42,3.41,3137.5737999999997,3093.875,4.36988,0.0,4.36988
Arizona,High,1.0,0.9,3,0,inner_val,9.073,20.065,52.717,3.41,3198.5917999999997,3118.93,7.96618,0.0,7.96618
Arizona,High,1.0,0.9,3,1,inner_val,9.419,18.441,48.889,3.41,3224.049,3067.576,15.647300000000001,0.0,15.647300000000001
Arizona,High,1.0,0.9,3,2,inner_val,9.092,19.685,51.986,3.41,3143.6063999999997,3100.973,4.26334,0.0,4.26334
Arizona,High,1.0,0.9,3,4,inner_val,7.489,19.501,53.395,5.516,3119.6153999999997,2934.584,18.50314,0.0,18.50314
Arizona,High,1.0,0.9,3,-1,outer_test,8.928,19.52,54.42,3.41,3144.3668000000002,3093.875,5.04918,0.0,5.04918
Arizona,High,1.0,0.9,4,0,inner_val,7.553,20.575,51.539,3.048,3095.3430000000003,2951.01,14.4333,0.0,14.4333
Arizona,High,1.0,0.9,4,1,inner_val,7.244,18.239,63.791,4.753,3108.3426,2929.781,17.85616,0.0,17.85616
Arizona,High,1.0,0.9,4,2,inner_val,7.489,19.501,53.395,5.516,3009.2576,2934.584,7.467359999999999,0.0,7.467359999999999
Arizona,High,1.0,0.9,4,3,inner_val,7.489,19.501,53.395,5.516,2999.3998,2934.584,6.481579999999999,0.0,6.481579999999999
Arizona,High,1.0,0.9,4,-1,outer_test,7.49,18.843,55.172,5.516,3122.0619999999994,2922.633,19.9429,0.0,19.9429
