climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,Low,0.5,0.8,0,1,inner_val,4.916,13.899,24.687,6.618,2514.8550000000005,2213.103,301.752,0.0,301.752
Arizona,Low,0.5,0.8,0,2,inner_val,4.988,13.555,28.545,7.614,2449.6686,2244.591,205.0776,0.0,205.0776
Arizona,Low,0.5,0.8,0,3,inner_val,5.004,13.785,28.024,7.094,2416.874,2247.512,169.36200000000002,0.0,169.36200000000002
Arizona,Low,0.5,0.8,0,4,inner_val,5.026,13.858,28.305,6.402,2460.3726,2249.793,210.57959999999997,0.0,210.57959999999997
Arizona,Low,0.5,0.8,0,-1,outer_test,4.982,13.808,27.606,6.615,2478.6378,2239.119,239.5188,0.0,239.5188
Arizona,Low,0.5,0.8,1,0,inner_val,4.916,13.899,24.687,6.618,2481.9031999999997,2213.103,268.8002,0.0,268.8002
Arizona,Low,0.5,0.8,1,2,inner_val,4.803,12.904,28.174,7.543,2444.9078,2194.713,250.1948,0.0,250.1948
Arizona,Low,0.5,0.8,1,3,inner_val,4.837,13.62,26.377,6.456,2408.4984,2204.65,203.8484,0.0,203.8484
Arizona,Low,0.5,0.8,1,4,inner_val,4.851,13.03,28.49,6.74,2461.092,2201.482,259.61,0.0,259.61
Arizona,Low,0.5,0.8,1,-1,outer_test,4.831,12.944,28.003,7.233,2516.6845999999996,2195.89,320.7946,0.0,320.7946
Arizona,Low,0.5,0.8,2,0,inner_val,4.988,13.555,28.545,7.614,2478.8725999999997,2244.591,234.28159999999997,0.0,234.28159999999997
Arizona,Low,0.5,0.8,2,1,inner_val,4.803,12.904,28.174,7.543,2517.683,2194.713,322.96999999999997,0.0,322.96999999999997
Arizona,Low,0.5,0.8,2,3,inner_val,5.009,13.423,29.789,7.955,2418.8344,2253.823,165.0114,0.0,165.0114
Arizona,Low,0.5,0.8,2,4,inner_val,5.016,13.859,28.963,6.487,2461.8014,2254.25,207.5514,0.0,207.5514
Arizona,Low,0.5,0.8,2,-1,outer_test,4.965,13.449,28.796,7.665,2448.9777999999997,2240.102,208.87580000000003,0.0,208.87580000000003
Arizona,Low,0.5,0.8,3,0,inner_val,5.004,13.785,28.024,7.094,2479.3404,2247.512,231.82840000000002,0.0,231.82840000000002
Arizona,Low,0.5,0.8,3,1,inner_val,4.837,13.62,26.377,6.456,2516.4282,2204.65,311.7782,0.0,311.7782
Arizona,Low,0.5,0.8,3,2,inner_val,5.009,13.423,29.789,7.955,2451.6938,2253.823,197.8708,0.0,197.8708
Arizona,Low,0.5,0.8,3,4,inner_val,5.029,13.938,28.947,6.456,2462.2514,2258.453,203.7984,0.0,203.7984
Arizona,Low,0.5,0.8,3,-1,outer_test,4.983,13.612,28.528,7.346,2415.9794,2244.074,171.9054,0.0,171.9054
Arizona,Low,0.5,0.8,4,0,inner_val,5.026,13.858,28.305,6.402,2478.5806000000002,2249.793,228.78759999999997,0.0,228.78759999999997
Arizona,Low,0.5,0.8,4,1,inner_val,4.851,13.03,28.49,6.74,2516.1519999999996,2201.482,314.66999999999996,0.0,314.66999999999996
Arizona,Low,0.5,0.8,4,2,inner_val,5.016,13.859,28.963,6.487,2451.6898,2254.25,197.43980000000002,0.0,197.43980000000002
Arizona,Low,0.5,0.8,4,3,inner_val,5.029,13.938,28.947,6.456,2420.223,2258.453,161.77,0.0,161.77
Arizona,Low,0.5,0.8,4,-1,outer_test,5.004,13.811,28.532,6.456,2460.5073999999995,2247.54,212.9674,0.0,212.9674
