climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,Low,1.0,0.8,0,1,inner_val,4.928,13.94,24.76,6.476,2514.3602,2215.558,298.80219999999997,0.0,298.80219999999997
Arizona,Low,1.0,0.8,0,2,inner_val,5.135,13.556,32.292,8.635,2464.1258,2297.44,166.68580000000003,0.0,166.68580000000003
Arizona,Low,1.0,0.8,0,3,inner_val,5.135,13.556,32.292,8.635,2433.4980000000005,2297.44,136.05800000000002,0.0,136.05800000000002
Arizona,Low,1.0,0.8,0,4,inner_val,5.138,13.631,32.393,8.587,2472.7706,2301.081,171.6896,0.0,171.6896
Arizona,Low,1.0,0.8,0,-1,outer_test,5.113,13.713,31.365,8.024,2483.3442000000005,2289.411,193.9332,0.0,193.9332
Arizona,Low,1.0,0.8,1,0,inner_val,4.928,13.94,24.76,6.476,2481.7488,2215.558,266.19079999999997,0.0,266.19079999999997
Arizona,Low,1.0,0.8,1,2,inner_val,4.781,13.133,27.478,6.97,2445.0814,2191.482,253.5994,0.0,253.5994
Arizona,Low,1.0,0.8,1,3,inner_val,4.839,13.784,26.023,6.06,2408.7752,2205.584,203.19119999999998,0.0,203.19119999999998
Arizona,Low,1.0,0.8,1,4,inner_val,4.873,13.429,27.883,6.456,2459.5989999999997,2212.748,246.85099999999997,0.0,246.85099999999997
Arizona,Low,1.0,0.8,1,-1,outer_test,4.837,13.258,27.876,6.456,2516.6104,2201.924,314.6864,0.0,314.6864
Arizona,Low,1.0,0.8,2,0,inner_val,5.135,13.556,32.292,8.635,2485.2565999999997,2297.44,187.81660000000002,0.0,187.81660000000002
Arizona,Low,1.0,0.8,2,1,inner_val,4.781,13.133,27.478,6.97,2519.1212,2191.482,327.63919999999996,0.0,327.63919999999996
Arizona,Low,1.0,0.8,2,3,inner_val,5.135,13.556,32.292,8.635,2433.4980000000005,2297.44,136.05800000000002,0.0,136.05800000000002
Arizona,Low,1.0,0.8,2,4,inner_val,5.126,14.481,29.815,6.456,2470.8206000000005,2297.166,173.65460000000002,0.0,173.65460000000002
Arizona,Low,1.0,0.8,2,-1,outer_test,5.039,14.363,28.489,6.456,2456.6418,2272.582,184.0598,0.0,184.0598
Arizona,Low,1.0,0.8,3,0,inner_val,5.135,13.556,32.292,8.635,2485.2565999999997,2297.44,187.81660000000002,0.0,187.81660000000002
Arizona,Low,1.0,0.8,3,1,inner_val,4.839,13.784,26.023,6.06,2516.5398,2205.584,310.9558,0.0,310.9558
Arizona,Low,1.0,0.8,3,2,inner_val,5.135,13.556,32.292,8.635,2464.1258,2297.44,166.68580000000003,0.0,166.68580000000003
Arizona,Low,1.0,0.8,3,4,inner_val,5.126,14.481,29.815,6.456,2470.8206000000005,2297.166,173.65460000000002,0.0,173.65460000000002
Arizona,Low,1.0,0.8,3,-1,outer_test,5.039,14.363,28.49,6.456,2424.9138,2272.59,152.32379999999998,0.0,152.32379999999998
Arizona,Low,1.0,0.8,4,0,inner_val,5.138,13.631,32.393,8.587,2486.1322000000005,2301.081,185.0512,0.0,185.0512
Arizona,Low,1.0,0.8,4,1,inner_val,4.873,13.429,27.883,6.456,2514.8309999999997,2212.748,302.08299999999997,0.0,302.08299999999997
Arizona,Low,1.0,0.8,4,2,inner_val,5.126,14.481,29.815,6.456,2464.0098000000003,2297.166,166.84380000000002,0.0,166.84380000000002
Arizona,Low,1.0,0.8,4,3,inner_val,5.126,14.481,29.815,6.456,2433.4348,2297.166,136.2688,0.0,136.2688
Arizona,Low,1.0,0.8,4,-1,outer_test,5.093,14.425,28.762,5.742,2466.0016,2277.921,188.0806,0.0,188.0806
