climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,Med,0.9,0.95,0,1,inner_val,5.902,15.363,39.746,6.901,2792.0343999999996,2498.971,97.6878,0.0,97.6878
Arizona,Med,0.9,0.95,0,2,inner_val,6.14,17.931,35.644,5.516,2728.0466,2584.501,47.84853333333333,0.0,47.84853333333333
Arizona,Med,0.9,0.95,0,3,inner_val,6.14,17.931,35.924,5.516,2681.5312,2586.602,31.64306666666667,0.0,31.64306666666667
Arizona,Med,0.9,0.95,0,4,inner_val,6.14,17.931,35.924,5.516,2746.5879999999997,2586.602,53.32866666666667,0.0,53.32866666666667
Arizona,Med,0.9,0.95,0,-1,outer_test,6.14,17.931,35.694,5.516,2761.8928,2584.876,59.00560000000001,0.0,59.00560000000001
Arizona,Med,0.9,0.95,1,0,inner_val,5.902,15.363,39.746,6.901,2739.054,2498.971,80.02766666666666,0.0,80.02766666666666
Arizona,Med,0.9,0.95,1,2,inner_val,5.938,15.396,40.226,6.806,2707.8722000000002,2507.304,66.85606666666666,0.0,66.85606666666666
Arizona,Med,0.9,0.95,1,3,inner_val,5.981,15.737,39.969,5.865,2656.737,2516.458,46.75966666666667,0.0,46.75966666666667
Arizona,Med,0.9,0.95,1,4,inner_val,5.783,17.093,35.955,4.753,2733.772,2507.406,75.45533333333333,0.0,75.45533333333333
Arizona,Med,0.9,0.95,1,-1,outer_test,5.949,15.461,40.213,6.624,2791.5606,2509.624,93.97886666666666,0.0,93.97886666666666
Arizona,Med,0.9,0.95,2,0,inner_val,6.14,17.931,35.644,5.516,2761.8350000000005,2584.501,59.111333333333334,0.0,59.111333333333334
Arizona,Med,0.9,0.95,2,1,inner_val,5.938,15.396,40.226,6.806,2791.6024,2507.304,94.76613333333334,0.0,94.76613333333334
Arizona,Med,0.9,0.95,2,3,inner_val,6.14,17.931,35.924,5.516,2681.5312,2586.602,31.64306666666667,0.0,31.64306666666667
Arizona,Med,0.9,0.95,2,4,inner_val,6.14,17.931,35.924,5.516,2746.5879999999997,2586.602,53.32866666666667,0.0,53.32866666666667
Arizona,Med,0.9,0.95,2,-1,outer_test,6.14,17.931,35.924,5.516,2728.5887999999995,2586.602,47.32893333333333,0.0,47.32893333333333
Arizona,Med,0.9,0.95,3,0,inner_val,6.14,17.931,35.924,5.516,2762.1585999999998,2586.602,58.51886666666667,0.0,58.51886666666667
Arizona,Med,0.9,0.95,3,1,inner_val,5.981,15.737,39.969,5.865,2791.4266000000002,2516.458,91.65620000000001,0.0,91.65620000000001
Arizona,Med,0.9,0.95,3,2,inner_val,6.14,17.931,35.924,5.516,2728.5887999999995,2586.602,47.32893333333333,0.0,47.32893333333333
Arizona,Med,0.9,0.95,3,4,inner_val,6.14,17.931,35.924,5.516,2746.5879999999997,2586.602,53.32866666666667,0.0,53.32866666666667
Arizona,Med,0.9,0.95,3,-1,outer_test,6.14,17.931,35.924,5.516,2681.5312,2586.602,31.64306666666667,0.0,31.64306666666667
Arizona,Med,0.9,0.95,4,0,inner_val,6.14,17.931,35.924,5.516,2762.1585999999998,2586.602,58.51886666666667,0.0,58.51886666666667
Arizona,Med,0.9,0.95,4,1,inner_val,5.783,17.093,35.955,4.753,2787.6362,2507.406,93.41006666666668,0.0,93.41006666666668
Arizona,Med,0.9,0.95,4,2,inner_val,6.14,17.931,35.924,5.516,2728.5887999999995,2586.602,47.32893333333333,0.0,47.32893333333333
Arizona,Med,0.9,0.95,4,3,inner_val,6.14,17.931,35.924,5.516,2681.5312,2586.602,31.64306666666667,0.0,31.64306666666667
Arizona,Med,0.9,0.95,4,-1,outer_test,6.14,17.931,35.924,5.516,2746.5879999999997,2586.602,53.32866666666667,0.0,53.32866666666667
