climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,Med,1.0,0.8,0,1,inner_val,6.086,16.639,37.435,5.057,2789.5602,2538.362,83.73273333333333,0.0,83.73273333333333
Arizona,Med,1.0,0.8,0,2,inner_val,6.087,17.377,37.461,6.009,2722.8124,2574.31,49.5008,0.0,49.5008
Arizona,Med,1.0,0.8,0,3,inner_val,6.087,17.377,37.461,6.009,2674.6264,2574.31,33.43880000000001,0.0,33.43880000000001
Arizona,Med,1.0,0.8,0,4,inner_val,6.032,16.399,41.015,7.749,2747.9702000000007,2569.914,59.352066666666666,0.0,59.352066666666666
Arizona,Med,1.0,0.8,0,-1,outer_test,6.047,16.251,40.552,7.413,2746.9788000000003,2559.94,62.34626666666666,0.0,62.34626666666666
Arizona,Med,1.0,0.8,1,0,inner_val,6.086,16.639,37.435,5.057,2743.356,2538.362,68.33133333333333,0.0,68.33133333333333
Arizona,Med,1.0,0.8,1,2,inner_val,5.941,16.319,39.363,4.753,2709.8309999999997,2521.401,62.81,0.0,62.81
Arizona,Med,1.0,0.8,1,3,inner_val,5.941,16.319,39.363,4.753,2657.8026,2521.401,45.46719999999999,0.0,45.46719999999999
Arizona,Med,1.0,0.8,1,4,inner_val,5.986,16.448,40.35,4.753,2751.6278,2539.001,70.8756,0.0,70.8756
Arizona,Med,1.0,0.8,1,-1,outer_test,5.986,16.344,39.351,4.753,2790.0044000000003,2527.489,87.50513333333333,0.0,87.50513333333333
Arizona,Med,1.0,0.8,2,0,inner_val,6.087,17.377,37.461,6.009,2754.8962,2574.31,60.19540000000001,0.0,60.19540000000001
Arizona,Med,1.0,0.8,2,1,inner_val,5.941,16.319,39.363,4.753,2789.9587999999994,2521.401,89.51926666666667,0.0,89.51926666666667
Arizona,Med,1.0,0.8,2,3,inner_val,6.087,17.377,37.461,6.009,2674.6264,2574.31,33.43880000000001,0.0,33.43880000000001
Arizona,Med,1.0,0.8,2,4,inner_val,5.942,16.686,40.158,7.555,2744.0876,2562.682,60.46853333333333,0.0,60.46853333333333
Arizona,Med,1.0,0.8,2,-1,outer_test,5.957,17.119,38.225,5.679,2717.3278,2552.55,54.925933333333326,0.0,54.925933333333326
Arizona,Med,1.0,0.8,3,0,inner_val,6.087,17.377,37.461,6.009,2754.8962,2574.31,60.19540000000001,0.0,60.19540000000001
Arizona,Med,1.0,0.8,3,1,inner_val,5.941,16.319,39.363,4.753,2789.9587999999994,2521.401,89.51926666666667,0.0,89.51926666666667
Arizona,Med,1.0,0.8,3,2,inner_val,6.087,17.377,37.461,6.009,2722.8124,2574.31,49.5008,0.0,49.5008
Arizona,Med,1.0,0.8,3,4,inner_val,5.942,16.686,40.158,7.555,2744.0876,2562.682,60.46853333333333,0.0,60.46853333333333
Arizona,Med,1.0,0.8,3,-1,outer_test,5.957,17.119,38.225,5.679,2666.075,2552.55,37.84166666666667,0.0,37.84166666666667
Arizona,Med,1.0,0.8,4,0,inner_val,6.032,16.399,41.015,7.749,2750.3416000000007,2569.914,60.14253333333334,0.0,60.14253333333334
Arizona,Med,1.0,0.8,4,1,inner_val,5.986,16.448,40.35,4.753,2790.0172,2539.001,83.67206666666668,0.0,83.67206666666668
Arizona,Med,1.0,0.8,4,2,inner_val,5.942,16.686,40.158,7.555,2722.3255999999997,2562.682,53.21453333333333,0.0,53.21453333333333
Arizona,Med,1.0,0.8,4,3,inner_val,5.942,16.686,40.158,7.555,2671.2985999999996,2562.682,36.20553333333333,0.0,36.20553333333333
Arizona,Med,1.0,0.8,4,-1,outer_test,5.943,16.388,41.417,7.119,2747.2491999999997,2557.47,63.25973333333334,0.0,63.25973333333334
