climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
California,High,0.75,0.95,0,1,inner_val,7.866,7.353,56.81,0.0,2604.971,2493.473,11.1498,0.0,11.1498
California,High,0.75,0.95,0,2,inner_val,7.681,7.885,46.202,0.0,2766.4488000000006,2412.971,35.34778,0.0,35.34778
California,High,0.75,0.95,0,3,inner_val,7.866,7.353,56.81,0.0,2496.7946,2493.473,0.33216,0.0,0.33216
California,High,0.75,0.95,0,4,inner_val,7.877,6.143,62.703,0.0,2656.0766000000003,2492.26,6.2850600000000005,0.336554,6.621614000000001
California,High,0.75,0.95,0,-1,outer_test,7.866,7.353,56.81,0.0,2750.0602,2493.473,25.65872,0.0,25.65872
California,High,0.75,0.95,1,0,inner_val,7.866,7.353,56.81,0.0,2750.0602,2493.473,25.65872,0.0,25.65872
California,High,0.75,0.95,1,2,inner_val,8.772,7.028,55.146,0.0,2744.4667999999997,2573.374,17.109280000000002,0.0,17.109280000000002
California,High,0.75,0.95,1,3,inner_val,8.813,7.063,56.3,0.0,2589.7758000000003,2588.134,0.16418,0.0,0.16418
California,High,0.75,0.95,1,4,inner_val,8.804,5.775,60.047,0.0,2714.0984000000003,2565.487,5.10884,0.3250766666666667,5.433916666666667
California,High,0.75,0.95,1,-1,outer_test,8.787,7.041,55.572,0.0,2660.4002,2578.81,8.159020000000002,0.0,8.159020000000002
California,High,0.75,0.95,2,0,inner_val,7.681,7.885,46.202,0.0,2790.4642,2412.971,37.749320000000004,0.0,37.749320000000004
California,High,0.75,0.95,2,1,inner_val,8.772,7.028,55.146,0.0,2657.0135999999993,2573.374,8.36396,0.0,8.36396
California,High,0.75,0.95,2,3,inner_val,8.772,7.028,55.146,0.0,2575.9256,2573.374,0.25516,0.0,0.25516
California,High,0.75,0.95,2,4,inner_val,8.843,5.461,60.561,0.0,2724.2882,2561.739,5.1195,0.37118066666666666,5.490680666666667
California,High,0.75,0.95,2,-1,outer_test,8.772,7.028,55.146,0.0,2744.4667999999997,2573.374,17.109280000000002,0.0,17.109280000000002
California,High,0.75,0.95,3,0,inner_val,7.866,7.353,56.81,0.0,2750.0602,2493.473,25.65872,0.0,25.65872
California,High,0.75,0.95,3,1,inner_val,8.813,7.063,56.3,0.0,2666.2120000000004,2588.134,7.8078,0.0,7.8078
California,High,0.75,0.95,3,2,inner_val,8.772,7.028,55.146,0.0,2744.4667999999997,2573.374,17.109280000000002,0.0,17.109280000000002
California,High,0.75,0.95,3,4,inner_val,8.825,5.608,60.321,0.0,2719.5404,2563.528,5.1140799999999995,0.34957199999999994,5.463652
California,High,0.75,0.95,3,-1,outer_test,8.813,7.063,56.3,0.0,2589.7758000000003,2588.134,0.16418,0.0,0.16418
California,High,0.75,0.95,4,0,inner_val,7.877,6.143,62.703,0.0,2732.8322,2492.26,23.334039999999998,0.024106,23.358145999999998
California,High,0.75,0.95,4,1,inner_val,8.804,5.775,60.047,0.0,2642.8024,2565.487,7.731540000000001,0.0,7.731540000000001
California,High,0.75,0.95,4,2,inner_val,8.843,5.461,60.561,0.0,2774.5906000000004,2561.739,15.917579999999997,0.17891933333333332,16.09649933333333
California,High,0.75,0.95,4,3,inner_val,8.825,5.608,60.321,0.0,2575.943,2563.528,1.2414999999999998,0.0,1.2414999999999998
California,High,0.75,0.95,4,-1,outer_test,8.825,5.608,60.321,0.0,2719.5404,2563.528,5.1140799999999995,0.34957199999999994,5.463652
