climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
California,High,0.0,0.95,0,1,inner_val,6.828,8.354,47.906,0.0,2577.2902000000004,2345.07,23.222019999999997,0.0,23.222019999999997
California,High,0.0,0.95,0,2,inner_val,6.703,6.426,51.228,0.0,2891.1626000000006,2281.088,48.806400000000004,0.40670266666666666,49.21310266666667
California,High,0.0,0.95,0,3,inner_val,7.299,7.453,54.114,0.0,2423.4798,2411.429,1.20508,0.0,1.20508
California,High,0.0,0.95,0,4,inner_val,7.351,6.412,52.847,0.0,2599.9168,2367.752,13.1233,0.33643866666666666,13.459738666666667
California,High,0.0,0.95,0,-1,outer_test,6.933,8.151,48.406,0.0,2808.1552,2353.146,45.3232,0.005924,45.329124
California,High,0.0,0.95,1,0,inner_val,6.828,8.354,47.906,0.0,2819.5736,2345.07,46.99786,0.015083333333333334,47.01294333333334
California,High,0.0,0.95,1,2,inner_val,6.869,8.478,46.526,0.0,2790.2496,2344.249,44.60006,0.0,44.60006
California,High,0.0,0.95,1,3,inner_val,7.437,7.213,57.688,0.0,2451.3176,2444.97,0.63476,0.0,0.63476
California,High,0.0,0.95,1,4,inner_val,7.413,6.592,57.621,0.0,2607.9983999999995,2417.711,9.959439999999999,0.30230999999999997,10.26175
California,High,0.0,0.95,1,-1,outer_test,7.12,7.795,53.48,0.0,2572.5188,2399.142,17.33768,0.0,17.33768
California,High,0.0,0.95,2,0,inner_val,6.703,6.426,51.228,0.0,2856.7792,2281.088,51.56107999999999,0.20026866666666668,51.761348666666656
California,High,0.0,0.95,2,1,inner_val,6.869,8.478,46.526,0.0,2580.2054,2344.249,23.595639999999996,0.0,23.595639999999996
California,High,0.0,0.95,2,3,inner_val,7.336,6.859,54.101,0.0,2408.7856,2392.683,1.6102600000000002,0.0,1.6102600000000002
California,High,0.0,0.95,2,4,inner_val,7.157,6.539,52.006,0.0,2591.671,2343.873,14.70824,0.33571866666666667,15.043958666666667
California,High,0.0,0.95,2,-1,outer_test,6.965,6.631,52.334,0.0,2815.2969999999996,2327.649,42.0692,0.22318666666666662,42.292386666666665
California,High,0.0,0.95,3,0,inner_val,7.299,7.453,54.114,0.0,2764.1206000000006,2411.429,35.26916,0.0,35.26916
California,High,0.0,0.95,3,1,inner_val,7.437,7.213,57.688,0.0,2577.6216,2444.97,13.265159999999998,0.0,13.265159999999998
California,High,0.0,0.95,3,2,inner_val,7.336,6.859,54.101,0.0,2748.4556,2392.683,33.16382,0.08044799999999999,33.244268
California,High,0.0,0.95,3,4,inner_val,7.631,6.376,59.588,0.0,2628.7512,2449.384,8.369580000000001,0.31890466666666667,8.688484666666668
California,High,0.0,0.95,3,-1,outer_test,7.415,7.233,55.688,0.0,2437.6567999999997,2428.183,0.9473800000000001,0.0,0.9473800000000001
California,High,0.0,0.95,4,0,inner_val,7.351,6.412,52.847,0.0,2768.489,2367.752,39.169599999999996,0.03013666666666667,39.19973666666666
California,High,0.0,0.95,4,1,inner_val,7.413,6.592,57.621,0.0,2561.1832000000004,2417.711,14.347219999999998,0.0,14.347219999999998
California,High,0.0,0.95,4,2,inner_val,7.157,6.539,52.006,0.0,2796.358,2343.873,39.79984,0.18162133333333336,39.981461333333336
California,High,0.0,0.95,4,3,inner_val,7.631,6.376,59.588,0.0,2457.6756,2449.384,0.8291599999999999,0.0,0.8291599999999999
California,High,0.0,0.95,4,-1,outer_test,7.46,6.429,55.608,0.0,2606.4574000000002,2401.754,10.7619,0.3236153333333333,11.085515333333333
