climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
California,Low,0.75,0.95,0,1,inner_val,4.066,8.132,18.41,0.0,2025.718,1795.2239999999997,230.494,0.0,230.494
California,Low,0.75,0.95,0,2,inner_val,4.164,6.865,18.229,0.0,2130.6286,1756.3,314.2368,2.00306,316.23986
California,Low,0.75,0.95,0,3,inner_val,4.123,8.08,19.251,0.0,1931.6036,1806.1300000000003,125.47359999999999,0.0,125.47359999999999
California,Low,0.75,0.95,0,4,inner_val,4.092,8.104,18.784,0.0,1985.8686000000002,1799.961,170.88359999999997,0.5008,171.38439999999997
California,Low,0.75,0.95,0,-1,outer_test,4.092,8.104,18.784,0.0,2116.1436000000003,1799.961,284.80740000000003,1.0458333333333334,285.8532333333334
California,Low,0.75,0.95,1,0,inner_val,4.066,8.132,18.41,0.0,2117.0998000000004,1795.2239999999997,290.2528,1.0540933333333333,291.30689333333333
California,Low,0.75,0.95,1,2,inner_val,4.242,7.953,21.403,0.0,2126.6090000000004,1831.161,253.89140000000003,1.3852133333333332,255.27661333333336
California,Low,0.75,0.95,1,3,inner_val,4.256,9.257,18.068,0.0,1966.6648,1858.0970000000002,108.56779999999999,0.0,108.56779999999999
California,Low,0.75,0.95,1,4,inner_val,4.257,8.364,20.473,0.0,2002.9138000000003,1841.786,148.7678,0.412,149.1798
California,Low,0.75,0.95,1,-1,outer_test,4.242,7.991,21.303,0.0,2030.5104,1831.877,198.6334,0.0,198.6334
California,Low,0.75,0.95,2,0,inner_val,4.164,6.865,18.229,0.0,2129.4129999999996,1756.3,314.6566,1.9485400000000002,316.60514
California,Low,0.75,0.95,2,1,inner_val,4.242,7.953,21.403,0.0,2029.8199999999997,1831.161,198.659,0.0,198.659
California,Low,0.75,0.95,2,3,inner_val,4.242,7.946,21.422,0.0,1941.525,1831.033,110.457,0.0011666666666666665,110.45816666666666
California,Low,0.75,0.95,2,4,inner_val,4.242,7.946,21.422,0.0,1995.9021999999998,1831.033,150.451,0.4806066666666666,150.93160666666665
California,Low,0.75,0.95,2,-1,outer_test,4.242,7.914,21.509,0.0,2126.424,1830.45,253.87759999999997,1.4032200000000001,255.28081999999998
California,Low,0.75,0.95,3,0,inner_val,4.123,8.08,19.251,0.0,2115.1532,1806.1300000000003,278.0434,1.0326533333333332,279.07605333333333
California,Low,0.75,0.95,3,1,inner_val,4.256,9.257,18.068,0.0,2054.1872000000003,1858.0970000000002,196.09019999999998,0.0,196.09019999999998
California,Low,0.75,0.95,3,2,inner_val,4.242,7.946,21.422,0.0,2126.5753999999997,1831.033,253.88900000000004,1.3884466666666666,255.2774466666667
California,Low,0.75,0.95,3,4,inner_val,4.289,8.265,21.121,0.0,2004.257,1846.533,145.1942,0.4176533333333333,145.61185333333333
California,Low,0.75,0.95,3,-1,outer_test,4.257,7.979,21.511,0.0,1943.5874,1834.712,108.87539999999998,0.0,108.87539999999998
California,Low,0.75,0.95,4,0,inner_val,4.092,8.104,18.784,0.0,2116.1436000000003,1799.961,284.80740000000003,1.0458333333333334,285.8532333333334
California,Low,0.75,0.95,4,1,inner_val,4.257,8.364,20.473,0.0,2037.9754,1841.786,196.18939999999998,0.0,196.18939999999998
California,Low,0.75,0.95,4,2,inner_val,4.242,7.946,21.422,0.0,2126.5753999999997,1831.033,253.88900000000004,1.3884466666666666,255.2774466666667
California,Low,0.75,0.95,4,3,inner_val,4.289,8.265,21.121,0.0,1952.0508000000002,1846.533,105.5178,0.0,105.5178
California,Low,0.75,0.95,4,-1,outer_test,4.257,7.939,21.62,0.0,1997.0478000000003,1833.986,148.7448,0.4772333333333333,149.22203333333334
