climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
California,Low,0.0,0.9,0,1,inner_val,3.901,6.917,19.257,0.0,2003.4334,1735.5610000000001,265.5924,0.07600666666666665,265.66840666666667
California,Low,0.0,0.9,0,2,inner_val,3.835,6.312,20.156,0.0,2134.1034,1711.306,343.3002,2.649913333333333,345.9501133333334
California,Low,0.0,0.9,0,3,inner_val,3.975,6.247,22.215,0.0,1910.0584,1740.4649999999997,145.73399999999998,0.7953133333333333,146.5293133333333
California,Low,0.0,0.9,0,4,inner_val,3.896,6.177,22.29,0.0,1976.5720000000001,1729.175,194.2322,1.77216,196.00436000000002
California,Low,0.0,0.9,0,-1,outer_test,3.893,6.493,20.676,0.0,2144.2118,1728.914,328.88620000000003,2.8803733333333335,331.7665733333334
California,Low,0.0,0.9,1,0,inner_val,3.901,6.917,19.257,0.0,2135.7632000000003,1735.5610000000001,331.0202,2.30606,333.32626
California,Low,0.0,0.9,1,2,inner_val,3.958,7.13,18.775,0.0,2128.5188000000003,1746.7689999999998,321.47560000000004,2.00914,323.48474000000004
California,Low,0.0,0.9,1,3,inner_val,4.139,7.266,20.444,0.0,1922.0226000000002,1785.5099999999998,130.27159999999998,0.20803333333333332,130.4796333333333
California,Low,0.0,0.9,1,4,inner_val,4.082,6.979,21.169,0.0,1975.2977999999998,1773.2689999999998,174.5818,0.9149066666666668,175.49670666666665
California,Low,0.0,0.9,1,-1,outer_test,4.021,7.049,19.861,0.0,2006.5156,1759.089,246.15139999999997,0.04250666666666667,246.19390666666663
California,Low,0.0,0.9,2,0,inner_val,3.835,6.312,20.156,0.0,2158.5202,1711.306,345.8756,3.3779600000000003,349.25356
California,Low,0.0,0.9,2,1,inner_val,3.958,7.13,18.775,0.0,2007.3684,1746.7689999999998,259.2886,0.043693333333333334,259.3322933333333
California,Low,0.0,0.9,2,3,inner_val,4.108,6.896,21.097,0.0,1916.8410000000003,1772.5350000000003,134.11759999999998,0.33962,134.45721999999998
California,Low,0.0,0.9,2,4,inner_val,4.023,6.672,21.417,0.0,1974.2714,1756.444,181.9856,1.1947200000000002,183.18032
California,Low,0.0,0.9,2,-1,outer_test,3.95,6.854,19.869,0.0,2127.9262,1743.3970000000002,318.951,2.1859466666666667,321.1369466666667
California,Low,0.0,0.9,3,0,inner_val,3.975,6.247,22.215,0.0,2145.1092000000003,1740.4649999999997,310.7078,3.13122,313.83902
California,Low,0.0,0.9,3,1,inner_val,4.139,7.266,20.444,0.0,2012.5620000000004,1785.5099999999998,226.4834,0.018953333333333332,226.50235333333333
California,Low,0.0,0.9,3,2,inner_val,4.108,6.896,21.097,0.0,2124.523,1772.5350000000003,291.08720000000005,2.0300266666666666,293.11722666666674
California,Low,0.0,0.9,3,4,inner_val,4.253,6.431,24.207,0.0,1983.2921999999999,1794.718,154.9884,1.1195333333333333,156.10793333333334
California,Low,0.0,0.9,3,-1,outer_test,4.138,6.802,21.612,0.0,1917.8984,1776.2459999999999,131.13299999999998,0.3506533333333334,131.4836533333333
California,Low,0.0,0.9,4,0,inner_val,3.896,6.177,22.29,0.0,2154.3464,1729.175,320.973,3.473286666666667,324.4462866666667
California,Low,0.0,0.9,4,1,inner_val,4.082,6.979,21.169,0.0,2006.3826000000001,1773.2689999999998,231.88739999999999,0.04087333333333333,231.92827333333332
California,Low,0.0,0.9,4,2,inner_val,4.023,6.672,21.417,0.0,2125.4686,1756.444,301.8808,2.2381266666666666,304.1189266666667
California,Low,0.0,0.9,4,3,inner_val,4.253,6.431,24.207,0.0,1925.5198,1794.718,117.0672,0.4578133333333333,117.52501333333333
California,Low,0.0,0.9,4,-1,outer_test,4.062,6.585,22.101,0.0,1975.7138,1762.735,176.53699999999998,1.2147266666666667,177.75172666666666
