climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
California,Med,0.9,0.95,0,1,inner_val,6.509,7.906,35.364,0.0,2341.8550000000005,2196.697,48.385999999999996,0.0,48.385999999999996
California,Med,0.9,0.95,0,2,inner_val,5.94,7.062,35.031,0.0,2453.4525999999996,2095.709,97.91886666666666,0.63987,98.55873666666666
California,Med,0.9,0.95,0,3,inner_val,6.509,7.935,36.565,0.0,2249.2157999999995,2206.83,14.1286,0.0,14.1286
California,Med,0.9,0.95,0,4,inner_val,6.509,7.911,35.575,0.0,2318.5142,2198.473,33.81066666666667,0.186092,33.99675866666667
California,Med,0.9,0.95,0,-1,outer_test,6.509,7.906,35.364,0.0,2437.6896,2196.697,76.88180000000001,0.103472,76.98527200000001
California,Med,0.9,0.95,1,0,inner_val,6.509,7.906,35.364,0.0,2437.6896,2196.697,76.88180000000001,0.103472,76.98527200000001
California,Med,0.9,0.95,1,2,inner_val,5.631,7.427,49.937,0.0,2478.4398,2185.882,73.78153333333333,0.712132,74.49366533333333
California,Med,0.9,0.95,1,3,inner_val,6.859,6.444,44.075,0.0,2271.5343999999996,2246.167,8.4558,0.0,8.4558
California,Med,0.9,0.95,1,4,inner_val,6.859,6.444,44.075,0.0,2356.8458,2246.167,24.2328,0.379804,24.612604
California,Med,0.9,0.95,1,-1,outer_test,6.847,6.463,44.053,0.0,2345.4488,2245.346,33.3676,0.0,33.3676
California,Med,0.9,0.95,2,0,inner_val,5.94,7.062,35.031,0.0,2417.5418,2095.709,98.06760000000001,0.27630199999999994,98.34390200000001
California,Med,0.9,0.95,2,1,inner_val,5.631,7.427,49.937,0.0,2327.7734,2185.882,47.297133333333335,0.0,47.297133333333335
California,Med,0.9,0.95,2,3,inner_val,5.82,7.176,50.485,0.0,2235.4718000000003,2202.195,11.092266666666667,0.0,11.092266666666667
California,Med,0.9,0.95,2,4,inner_val,5.81,7.189,50.457,0.0,2324.3414,2201.329,28.7754,0.366862,29.142262000000002
California,Med,0.9,0.95,2,-1,outer_test,5.741,7.281,50.255,0.0,2474.17,2195.373,69.88806666666666,0.691326,70.57939266666666
California,Med,0.9,0.95,3,0,inner_val,6.509,7.935,36.565,0.0,2439.3174,2206.83,74.10173333333334,0.101822,74.20355533333334
California,Med,0.9,0.95,3,1,inner_val,6.859,6.444,44.075,0.0,2345.8296,2246.167,33.220866666666666,0.0,33.220866666666666
California,Med,0.9,0.95,3,2,inner_val,5.82,7.176,50.485,0.0,2471.5678,2202.195,67.24326666666667,0.67643,67.91969666666667
California,Med,0.9,0.95,3,4,inner_val,6.859,6.444,44.075,0.0,2356.8458,2246.167,24.2328,0.379804,24.612604
California,Med,0.9,0.95,3,-1,outer_test,6.859,6.444,44.075,0.0,2271.5343999999996,2246.167,8.4558,0.0,8.4558
California,Med,0.9,0.95,4,0,inner_val,6.509,7.911,35.575,0.0,2437.9020000000005,2198.473,76.37006666666666,0.103188,76.47325466666666
California,Med,0.9,0.95,4,1,inner_val,6.859,6.444,44.075,0.0,2345.8296,2246.167,33.220866666666666,0.0,33.220866666666666
California,Med,0.9,0.95,4,2,inner_val,5.81,7.189,50.457,0.0,2471.8008,2201.329,67.54379999999999,0.678404,68.22220399999999
California,Med,0.9,0.95,4,3,inner_val,6.859,6.444,44.075,0.0,2271.5343999999996,2246.167,8.4558,0.0,8.4558
California,Med,0.9,0.95,4,-1,outer_test,6.859,6.444,44.075,0.0,2356.8458,2246.167,24.2328,0.379804,24.612604
