climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
California,Med,1.0,0.8,0,1,inner_val,6.421,9.176,32.238,0.0,2360.9726,2212.075,49.632533333333335,0.0,49.632533333333335
California,Med,1.0,0.8,0,2,inner_val,5.938,7.622,33.535,0.0,2446.6394,2105.87,97.93626666666665,0.46960599999999997,98.40587266666665
California,Med,1.0,0.8,0,3,inner_val,6.421,9.176,32.238,0.0,2260.3066,2212.075,16.0772,0.0,16.0772
California,Med,1.0,0.8,0,4,inner_val,6.421,9.176,32.238,0.0,2317.0535999999997,2212.075,34.992866666666664,0.0,34.992866666666664
California,Med,1.0,0.8,0,-1,outer_test,6.507,8.502,33.828,0.0,2445.1946,2207.947,76.7502,0.06997199999999999,76.82017200000001
California,Med,1.0,0.8,1,0,inner_val,6.421,9.176,32.238,0.0,2451.5711999999994,2212.075,78.21206666666667,0.048602,78.26066866666667
California,Med,1.0,0.8,1,2,inner_val,5.704,7.331,40.98,0.0,2459.4233999999997,2123.408,88.73680000000002,0.698052,89.43485200000002
California,Med,1.0,0.8,1,3,inner_val,6.797,7.789,40.386,0.0,2288.5415999999996,2263.227,8.4382,0.0,8.4382
California,Med,1.0,0.8,1,4,inner_val,6.797,7.789,40.386,0.0,2356.2264,2263.227,25.108533333333327,0.176738,25.285271333333327
California,Med,1.0,0.8,1,-1,outer_test,6.649,8.393,37.023,0.0,2363.294,2244.165,39.709666666666664,0.0,39.709666666666664
California,Med,1.0,0.8,2,0,inner_val,5.938,7.622,33.535,0.0,2423.284,2105.87,98.06299999999999,0.23225,98.29524999999998
California,Med,1.0,0.8,2,1,inner_val,5.704,7.331,40.98,0.0,2307.3264,2123.408,61.30613333333334,0.0,61.30613333333334
California,Med,1.0,0.8,2,3,inner_val,5.704,7.331,40.98,0.0,2183.5346,2123.408,20.042199999999998,0.0,20.042199999999998
California,Med,1.0,0.8,2,4,inner_val,5.81,7.189,44.051,0.0,2297.3494,2153.251,35.80406666666667,0.366862,36.17092866666667
California,Med,1.0,0.8,2,-1,outer_test,5.756,7.261,39.526,0.0,2456.169,2115.816,90.50040000000001,0.688518,91.18891800000002
California,Med,1.0,0.8,3,0,inner_val,6.421,9.176,32.238,0.0,2451.5711999999994,2212.075,78.21206666666667,0.048602,78.26066866666667
California,Med,1.0,0.8,3,1,inner_val,6.797,7.789,40.386,0.0,2365.8368,2263.227,34.203266666666664,0.0,34.203266666666664
California,Med,1.0,0.8,3,2,inner_val,5.704,7.331,40.98,0.0,2459.4233999999997,2123.408,88.73680000000002,0.698052,89.43485200000002
California,Med,1.0,0.8,3,4,inner_val,6.797,7.789,40.386,0.0,2356.2264,2263.227,25.108533333333327,0.176738,25.285271333333327
California,Med,1.0,0.8,3,-1,outer_test,6.649,8.393,37.023,0.0,2277.5184,2244.165,11.1178,0.0,11.1178
California,Med,1.0,0.8,4,0,inner_val,6.421,9.176,32.238,0.0,2451.5711999999994,2212.075,78.21206666666667,0.048602,78.26066866666667
California,Med,1.0,0.8,4,1,inner_val,6.797,7.789,40.386,0.0,2365.8368,2263.227,34.203266666666664,0.0,34.203266666666664
California,Med,1.0,0.8,4,2,inner_val,5.81,7.189,44.051,0.0,2457.2635999999998,2153.251,78.72406666666666,0.678404,79.40247066666666
California,Med,1.0,0.8,4,3,inner_val,6.797,7.789,40.386,0.0,2288.5415999999996,2263.227,8.4382,0.0,8.4382
California,Med,1.0,0.8,4,-1,outer_test,6.649,8.393,37.023,0.0,2340.1446,2244.165,28.731933333333334,0.097838,28.829771333333333
