climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,High,0.5,0.8,0,1,inner_val,6.03,8.629,0.0,49.236,2275.6948,2273.241,0.24538000000000001,0.0,0.24538000000000001
Florida,High,0.5,0.8,0,2,inner_val,6.167,5.646,0.0,57.215,2385.8833999999997,2233.825,15.20584,0.0,15.20584
Florida,High,0.5,0.8,0,3,inner_val,6.03,8.629,0.0,49.236,2282.411,2273.241,0.917,0.0,0.917
Florida,High,0.5,0.8,0,4,inner_val,5.584,8.653,0.0,49.106,2425.0508,2221.535,20.351580000000002,0.0,20.351580000000002
Florida,High,0.5,0.8,0,-1,outer_test,5.87,8.083,0.0,50.953,2276.675,2246.516,3.0159,0.0,3.0159
Florida,High,0.5,0.8,1,0,inner_val,6.03,8.629,0.0,49.236,2297.7732000000005,2273.241,2.45322,0.0,2.45322
Florida,High,0.5,0.8,1,2,inner_val,6.228,5.576,0.0,57.324,2393.8064,2239.006,15.480039999999999,0.0,15.480039999999999
Florida,High,0.5,0.8,1,3,inner_val,6.03,8.629,0.0,49.236,2282.411,2273.241,0.917,0.0,0.917
Florida,High,0.5,0.8,1,4,inner_val,5.468,8.626,0.0,47.655,2462.8338000000003,2196.167,26.666680000000003,0.0,26.666680000000003
Florida,High,0.5,0.8,1,-1,outer_test,5.991,8.07,0.0,50.82,2261.4903999999997,2259.031,0.24594,0.0,0.24594
Florida,High,0.5,0.8,2,0,inner_val,6.167,5.646,0.0,57.215,2280.2508,2233.825,4.642580000000001,0.0,4.642580000000001
Florida,High,0.5,0.8,2,1,inner_val,6.228,5.576,0.0,57.324,2258.95,2239.006,1.9944,0.0,1.9944
Florida,High,0.5,0.8,2,3,inner_val,6.078,5.4,0.0,58.016,2264.6704,2220.031,2.5857400000000004,0.06260666666666669,2.648346666666667
Florida,High,0.5,0.8,2,4,inner_val,5.447,6.473,0.0,53.658,2446.2904000000003,2155.665,29.062540000000002,0.0,29.062540000000002
Florida,High,0.5,0.8,2,-1,outer_test,6.08,5.746,0.0,56.93,2374.7552,2225.47,14.92852,0.0,14.92852
Florida,High,0.5,0.8,3,0,inner_val,6.03,8.629,0.0,49.236,2297.7732000000005,2273.241,2.45322,0.0,2.45322
Florida,High,0.5,0.8,3,1,inner_val,6.03,8.629,0.0,49.236,2275.6948,2273.241,0.24538000000000001,0.0,0.24538000000000001
Florida,High,0.5,0.8,3,2,inner_val,6.078,5.4,0.0,58.016,2388.946,2220.031,16.633499999999998,0.0086,16.6421
Florida,High,0.5,0.8,3,4,inner_val,5.486,8.624,0.0,46.972,2468.8622,2193.049,27.581319999999995,0.0,27.581319999999995
Florida,High,0.5,0.8,3,-1,outer_test,5.853,8.085,0.0,50.874,2259.8686000000002,2244.031,1.5837599999999998,0.0,1.5837599999999998
Florida,High,0.5,0.8,4,0,inner_val,5.584,8.653,0.0,49.106,2263.0766,2221.535,4.15416,0.0,4.15416
Florida,High,0.5,0.8,4,1,inner_val,5.468,8.626,0.0,47.655,2208.136,2196.167,1.1968999999999999,0.0,1.1968999999999999
Florida,High,0.5,0.8,4,2,inner_val,5.447,6.473,0.0,53.658,2317.595,2155.665,16.192999999999998,0.0,16.192999999999998
Florida,High,0.5,0.8,4,3,inner_val,5.486,8.624,0.0,46.972,2246.2288,2193.049,5.31798,0.0,5.31798
Florida,High,0.5,0.8,4,-1,outer_test,5.515,7.847,0.0,49.879,2442.1216,2188.227,25.389460000000003,0.0,25.389460000000003
