climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,High,1.0,0.9,0,1,inner_val,6.164,9.898,0.0,46.211,2317.1236,2315.052,0.20716,0.0,0.20716
Florida,High,1.0,0.9,0,2,inner_val,6.083,5.399,0.0,57.877,2388.9217999999996,2219.528,16.67992,0.008649333333333334,16.688569333333334
Florida,High,1.0,0.9,0,3,inner_val,6.164,9.898,0.0,46.211,2319.3712,2315.052,0.43192,0.0,0.43192
Florida,High,1.0,0.9,0,4,inner_val,5.626,10.808,0.0,44.871,2442.0152000000003,2277.815,16.42002,0.0,16.42002
Florida,High,1.0,0.9,0,-1,outer_test,6.164,9.898,0.0,46.211,2333.2766,2315.052,1.8224600000000002,0.0,1.8224600000000002
Florida,High,1.0,0.9,1,0,inner_val,6.164,9.898,0.0,46.211,2333.2766,2315.052,1.8224600000000002,0.0,1.8224600000000002
Florida,High,1.0,0.9,1,2,inner_val,6.083,5.399,0.0,57.877,2388.9217999999996,2219.528,16.67992,0.008649333333333334,16.688569333333334
Florida,High,1.0,0.9,1,3,inner_val,6.164,9.898,0.0,46.211,2319.3712,2315.052,0.43192,0.0,0.43192
Florida,High,1.0,0.9,1,4,inner_val,5.721,10.8,0.0,45.018,2432.0379999999996,2289.613,14.242500000000001,0.0,14.242500000000001
Florida,High,1.0,0.9,1,-1,outer_test,6.164,9.898,0.0,46.211,2317.1236,2315.052,0.20716,0.0,0.20716
Florida,High,1.0,0.9,2,0,inner_val,6.083,5.399,0.0,57.877,2276.0959999999995,2219.528,5.397340000000001,0.008649333333333334,5.405989333333334
Florida,High,1.0,0.9,2,1,inner_val,6.083,5.399,0.0,57.877,2243.352,2219.528,2.3824,0.0,2.3824
Florida,High,1.0,0.9,2,3,inner_val,6.083,5.399,0.0,57.877,2264.1383999999994,2219.528,2.6033999999999997,0.06192200000000001,2.6653219999999997
Florida,High,1.0,0.9,2,4,inner_val,5.476,6.382,0.0,53.841,2438.6588,2156.884,28.177479999999996,0.0,28.177479999999996
Florida,High,1.0,0.9,2,-1,outer_test,6.169,5.361,0.0,57.996,2398.6818000000003,2228.915,16.661340000000003,0.010511333333333333,16.671851333333336
Florida,High,1.0,0.9,3,0,inner_val,6.164,9.898,0.0,46.211,2333.2766,2315.052,1.8224600000000002,0.0,1.8224600000000002
Florida,High,1.0,0.9,3,1,inner_val,6.164,9.898,0.0,46.211,2317.1236,2315.052,0.20716,0.0,0.20716
Florida,High,1.0,0.9,3,2,inner_val,6.083,5.399,0.0,57.877,2388.9217999999996,2219.528,16.67992,0.008649333333333334,16.688569333333334
Florida,High,1.0,0.9,3,4,inner_val,5.721,10.8,0.0,45.018,2432.0379999999996,2289.613,14.242500000000001,0.0,14.242500000000001
Florida,High,1.0,0.9,3,-1,outer_test,6.164,9.898,0.0,46.211,2319.3712,2315.052,0.43192,0.0,0.43192
Florida,High,1.0,0.9,4,0,inner_val,5.626,10.808,0.0,44.871,2311.2776000000003,2277.815,3.3462599999999996,0.0,3.3462599999999996
Florida,High,1.0,0.9,4,1,inner_val,5.721,10.8,0.0,45.018,2291.4248,2289.613,0.18117999999999998,0.0,0.18117999999999998
Florida,High,1.0,0.9,4,2,inner_val,5.476,6.382,0.0,53.841,2319.5284,2156.884,16.264439999999997,0.0,16.264439999999997
Florida,High,1.0,0.9,4,3,inner_val,5.721,10.8,0.0,45.018,2301.3011999999994,2289.613,1.16882,0.0,1.16882
Florida,High,1.0,0.9,4,-1,outer_test,5.723,10.508,0.0,42.637,2444.779,2260.702,18.4077,0.0,18.4077
