climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,Low,0.25,0.95,0,1,inner_val,4.939,4.753,0.0,46.249,2001.977,1974.816,23.853999999999996,0.11022000000000001,23.964219999999997
Florida,Low,0.25,0.95,0,2,inner_val,4.906,4.725,0.0,46.185,2031.209,1969.4330000000002,59.621,0.07182,59.692820000000005
Florida,Low,0.25,0.95,0,3,inner_val,4.829,4.406,0.0,46.284,2062.5945999999994,1948.941,71.3282,1.41084,72.73903999999999
Florida,Low,0.25,0.95,0,4,inner_val,4.582,5.295,0.0,38.34,2181.298,1895.0350000000003,281.74899999999997,0.15046666666666667,281.8994666666666
Florida,Low,0.25,0.95,0,-1,outer_test,4.858,4.528,0.0,45.923,2000.1902000000002,1954.301,43.706,0.07278,43.778780000000005
Florida,Low,0.25,0.95,1,0,inner_val,4.939,4.753,0.0,46.249,2013.6807999999996,1974.816,37.3446,0.050673333333333334,37.395273333333336
Florida,Low,0.25,0.95,1,2,inner_val,4.92,4.49,0.0,47.044,2031.5734,1968.4280000000003,59.9544,0.10638,60.06078
Florida,Low,0.25,0.95,1,3,inner_val,4.815,4.389,0.0,46.747,2063.4111999999996,1950.1379999999997,70.1494,1.4374600000000002,71.58686
Florida,Low,0.25,0.95,1,4,inner_val,4.57,5.304,0.0,38.563,2180.8128,1895.666,280.6324,0.15048,280.78288000000003
Florida,Low,0.25,0.95,1,-1,outer_test,4.846,4.482,0.0,46.075,1987.6530000000002,1952.2760000000003,29.905600000000003,0.18238000000000001,30.08798
Florida,Low,0.25,0.95,2,0,inner_val,4.906,4.725,0.0,46.185,2009.8196,1969.4330000000002,38.7834,0.05344,38.83684
Florida,Low,0.25,0.95,2,1,inner_val,4.92,4.49,0.0,47.044,1998.8152000000002,1968.4280000000003,25.0948,0.17641333333333334,25.271213333333332
Florida,Low,0.25,0.95,2,3,inner_val,4.79,4.373,0.0,46.429,2062.3792000000003,1944.238,73.9844,1.4719000000000002,75.4563
Florida,Low,0.25,0.95,2,4,inner_val,4.529,5.267,0.0,37.967,2190.0118,1885.016,300.14300000000003,0.16175333333333333,300.30475333333334
Florida,Low,0.25,0.95,2,-1,outer_test,4.814,4.483,0.0,46.072,2020.1627999999996,1948.586,68.34479999999999,0.10773333333333333,68.45253333333332
Florida,Low,0.25,0.95,3,0,inner_val,4.829,4.406,0.0,46.284,1996.4828000000002,1948.941,44.888,0.08846,44.976459999999996
Florida,Low,0.25,0.95,3,1,inner_val,4.815,4.389,0.0,46.747,1986.35,1950.1379999999997,29.9574,0.20849333333333334,30.165893333333333
Florida,Low,0.25,0.95,3,2,inner_val,4.79,4.373,0.0,46.429,2018.4458,1944.238,70.1694,0.13460666666666665,70.30400666666667
Florida,Low,0.25,0.95,3,4,inner_val,4.261,4.473,0.0,37.085,2253.523,1816.7010000000002,425.0902,0.39105333333333336,425.4812533333333
Florida,Low,0.25,0.95,3,-1,outer_test,4.754,4.434,0.0,45.872,2060.2658,1938.243,78.6808,1.4447400000000001,80.12554
Florida,Low,0.25,0.95,4,0,inner_val,4.582,5.295,0.0,38.34,1971.6642,1895.0350000000003,76.2168,0.013746666666666666,76.23054666666667
Florida,Low,0.25,0.95,4,1,inner_val,4.57,5.304,0.0,38.563,1957.0672,1895.666,60.5902,0.027033333333333333,60.61723333333334
Florida,Low,0.25,0.95,4,2,inner_val,4.529,5.267,0.0,37.967,1996.4870000000003,1885.016,111.0174,0.015119999999999998,111.03251999999999
Florida,Low,0.25,0.95,4,3,inner_val,4.261,4.473,0.0,37.085,2089.4318,1816.7010000000002,218.728,1.8001,220.5281
Florida,Low,0.25,0.95,4,-1,outer_test,4.528,5.267,0.0,37.988,2189.9658000000004,1885.057,300.0526,0.1618733333333333,300.21447333333333
