climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,Low,1.0,0.8,0,1,inner_val,5.14,5.255,0.0,47.448,2040.6062000000002,2026.476,13.853800000000001,0.00922,13.86302
Florida,Low,1.0,0.8,0,2,inner_val,5.147,5.085,0.0,48.48,2068.3872,2028.4690000000003,39.197199999999995,0.024033333333333334,39.22123333333333
Florida,Low,1.0,0.8,0,3,inner_val,5.14,5.255,0.0,47.448,2077.8762,2026.476,36.2344,0.5055200000000001,36.73992
Florida,Low,1.0,0.8,0,4,inner_val,4.835,6.11,0.0,38.514,2158.0508,1957.109,200.9418,0.0,200.9418
Florida,Low,1.0,0.8,0,-1,outer_test,5.058,5.069,0.0,47.492,2037.6599999999999,2010.128,26.7874,0.02482,26.81222
Florida,Low,1.0,0.8,1,0,inner_val,5.14,5.255,0.0,47.448,2050.2598000000003,2026.476,23.3128,0.015706666666666664,23.328506666666666
Florida,Low,1.0,0.8,1,2,inner_val,5.147,5.085,0.0,48.48,2068.3872,2028.4690000000003,39.197199999999995,0.024033333333333334,39.22123333333333
Florida,Low,1.0,0.8,1,3,inner_val,5.14,5.255,0.0,47.448,2077.8762,2026.476,36.2344,0.5055200000000001,36.73992
Florida,Low,1.0,0.8,1,4,inner_val,4.835,6.11,0.0,38.514,2158.0508,1957.109,200.9418,0.0,200.9418
Florida,Low,1.0,0.8,1,-1,outer_test,5.058,5.069,0.0,47.492,2027.4415999999997,2010.128,16.0572,0.04188,16.09908
Florida,Low,1.0,0.8,2,0,inner_val,5.147,5.085,0.0,48.48,2051.3322,2028.4690000000003,22.1422,0.024033333333333334,22.16623333333333
Florida,Low,1.0,0.8,2,1,inner_val,5.147,5.085,0.0,48.48,2042.8244000000002,2028.4690000000003,13.293000000000001,0.03541333333333333,13.328413333333334
Florida,Low,1.0,0.8,2,3,inner_val,5.164,4.41,0.0,50.703,2088.7416000000003,2021.062,33.422000000000004,1.1419266666666665,34.563926666666674
Florida,Low,1.0,0.8,2,4,inner_val,4.762,5.947,0.0,39.605,2155.9028000000003,1950.5489999999998,204.4948,0.028633333333333334,204.52343333333334
Florida,Low,1.0,0.8,2,-1,outer_test,5.117,5.245,0.0,47.443,2064.534,2023.389,40.6592,0.01619333333333333,40.67539333333333
Florida,Low,1.0,0.8,3,0,inner_val,5.14,5.255,0.0,47.448,2050.2598000000003,2026.476,23.3128,0.015706666666666664,23.328506666666666
Florida,Low,1.0,0.8,3,1,inner_val,5.14,5.255,0.0,47.448,2040.6062000000002,2026.476,13.853800000000001,0.00922,13.86302
Florida,Low,1.0,0.8,3,2,inner_val,5.164,4.41,0.0,50.703,2066.9924,2021.062,42.2694,0.12204666666666668,42.39144666666667
Florida,Low,1.0,0.8,3,4,inner_val,4.355,4.433,0.0,39.896,2212.0572,1847.141,353.4254,0.38303333333333334,353.80843333333337
Florida,Low,1.0,0.8,3,-1,outer_test,5.05,4.468,0.0,49.146,2077.5118,1998.4119999999998,43.655,1.1814866666666668,44.836486666666666
Florida,Low,1.0,0.8,4,0,inner_val,4.835,6.11,0.0,38.514,2010.4345999999998,1957.109,53.32560000000001,0.0,53.32560000000001
Florida,Low,1.0,0.8,4,1,inner_val,4.835,6.11,0.0,38.514,1994.5485999999996,1957.109,37.4396,0.0,37.4396
Florida,Low,1.0,0.8,4,2,inner_val,4.762,5.947,0.0,39.605,2023.1065999999998,1950.5489999999998,72.55760000000001,0.0,72.55760000000001
Florida,Low,1.0,0.8,4,3,inner_val,4.355,4.433,0.0,39.896,2074.6788,1847.141,174.67540000000002,1.7620733333333332,176.43747333333334
Florida,Low,1.0,0.8,4,-1,outer_test,4.7,6.068,0.0,38.028,2168.205,1936.2040000000002,231.484,0.017226666666666668,231.50122666666667
