climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,Med,0.25,0.95,0,1,inner_val,5.341,6.32,0.0,49.217,2118.696,2104.151,4.848333333333334,0.0,4.848333333333334
Florida,Med,0.25,0.95,0,2,inner_val,5.39,5.611,0.0,52.448,2175.4790000000003,2106.702,22.925666666666668,0.0,22.925666666666668
Florida,Med,0.25,0.95,0,3,inner_val,5.22,5.808,0.0,50.173,2151.9157999999998,2077.544,19.363533333333336,0.16280999999999998,19.526343333333337
Florida,Med,0.25,0.95,0,4,inner_val,4.995,6.939,0.0,44.694,2336.9012000000002,2054.029,94.29073333333336,0.0,94.29073333333336
Florida,Med,0.25,0.95,0,-1,outer_test,5.257,5.928,0.0,49.806,2120.7216,2083.708,12.337866666666665,0.0,12.337866666666665
Florida,Med,0.25,0.95,1,0,inner_val,5.341,6.32,0.0,49.217,2135.3034,2104.151,10.384133333333333,0.0,10.384133333333333
Florida,Med,0.25,0.95,1,2,inner_val,5.391,5.61,0.0,52.451,2175.5568,2106.802,22.918266666666668,0.0,22.918266666666668
Florida,Med,0.25,0.95,1,3,inner_val,5.24,5.847,0.0,49.925,2150.8192000000004,2079.505,18.963199999999997,0.14425000000000002,19.107449999999996
Florida,Med,0.25,0.95,1,4,inner_val,5.079,6.896,0.0,45.514,2308.9075999999995,2068.252,80.21853333333333,0.0,80.21853333333333
Florida,Med,0.25,0.95,1,-1,outer_test,5.266,5.955,0.0,49.72,2103.1099999999997,2085.147,5.987666666666667,0.0,5.987666666666667
Florida,Med,0.25,0.95,2,0,inner_val,5.39,5.611,0.0,52.448,2137.3196,2106.702,10.205866666666667,0.0,10.205866666666667
Florida,Med,0.25,0.95,2,1,inner_val,5.391,5.61,0.0,52.451,2120.6938,2106.802,4.6306,0.0,4.6306
Florida,Med,0.25,0.95,2,3,inner_val,5.345,5.405,0.0,52.666,2164.4973999999993,2095.173,13.309800000000001,0.293948,13.603748000000001
Florida,Med,0.25,0.95,2,4,inner_val,5.139,5.933,0.0,48.458,2281.4854000000005,2060.117,73.78946666666667,0.0,73.78946666666667
Florida,Med,0.25,0.95,2,-1,outer_test,5.347,5.405,0.0,52.737,2171.3354,2095.938,24.853933333333334,0.008356,24.862289333333333
Florida,Med,0.25,0.95,3,0,inner_val,5.22,5.808,0.0,50.173,2116.267,2077.544,12.907666666666666,0.0,12.907666666666666
Florida,Med,0.25,0.95,3,1,inner_val,5.24,5.847,0.0,49.925,2098.6232,2079.505,6.372733333333334,0.0,6.372733333333334
Florida,Med,0.25,0.95,3,2,inner_val,5.345,5.405,0.0,52.666,2170.8552,2095.173,24.948866666666664,0.008356,24.957222666666663
Florida,Med,0.25,0.95,3,4,inner_val,4.923,5.952,0.0,46.074,2364.0058,2017.94,115.05039999999998,0.009146000000000001,115.05954599999998
Florida,Med,0.25,0.95,3,-1,outer_test,5.228,5.767,0.0,49.964,2152.3695999999995,2075.319,19.918533333333333,0.17295,20.091483333333333
Florida,Med,0.25,0.95,4,0,inner_val,4.995,6.939,0.0,44.694,2111.7258,2054.029,19.232266666666664,0.0,19.232266666666664
Florida,Med,0.25,0.95,4,1,inner_val,5.079,6.896,0.0,45.514,2093.0142,2068.252,8.254066666666667,0.0,8.254066666666667
Florida,Med,0.25,0.95,4,2,inner_val,5.139,5.933,0.0,48.458,2150.6882,2060.117,30.1904,0.0,30.1904
Florida,Med,0.25,0.95,4,3,inner_val,4.923,5.952,0.0,46.074,2173.77,2017.94,44.40206666666668,0.226238,44.62830466666668
Florida,Med,0.25,0.95,4,-1,outer_test,4.975,6.562,0.0,45.566,2338.8244,2043.7010000000002,98.37446666666666,0.0,98.37446666666666
