climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,Med,0.0,0.8,0,1,inner_val,5.322,5.709,0.0,51.026,2108.7204,2091.938,5.5941333333333345,0.0,5.5941333333333345
Florida,Med,0.0,0.8,0,2,inner_val,5.265,5.753,0.0,50.692,2161.7726,2084.528,25.7482,0.0,25.7482
Florida,Med,0.0,0.8,0,3,inner_val,5.209,5.294,0.0,51.063,2170.3326,2063.105,21.612399999999997,0.423904,22.036303999999998
Florida,Med,0.0,0.8,0,4,inner_val,4.979,5.98,0.0,46.346,2341.7482000000005,2027.5489999999998,104.73306666666667,0.0,104.73306666666667
Florida,Med,0.0,0.8,0,-1,outer_test,5.233,5.777,0.0,49.701,2114.8682,2074.31,13.519400000000003,0.0,13.519400000000003
Florida,Med,0.0,0.8,1,0,inner_val,5.322,5.709,0.0,51.026,2126.4363999999996,2091.938,11.499466666666669,0.0,11.499466666666669
Florida,Med,0.0,0.8,1,2,inner_val,5.269,5.75,0.0,50.696,2161.9726,2084.905,25.6892,0.0,25.6892
Florida,Med,0.0,0.8,1,3,inner_val,5.227,5.358,0.0,51.266,2166.3258,2069.184,19.924866666666667,0.37367000000000006,20.298536666666667
Florida,Med,0.0,0.8,1,4,inner_val,5.041,5.925,0.0,47.303,2314.5150000000003,2039.789,91.57533333333333,0.0,91.57533333333333
Florida,Med,0.0,0.8,1,-1,outer_test,5.248,5.766,0.0,49.876,2097.1704000000004,2076.936,6.744800000000001,0.0,6.744800000000001
Florida,Med,0.0,0.8,2,0,inner_val,5.265,5.753,0.0,50.692,2121.025,2084.528,12.165666666666667,0.0,12.165666666666667
Florida,Med,0.0,0.8,2,1,inner_val,5.269,5.75,0.0,50.696,2102.7242,2084.905,5.939733333333334,0.0,5.939733333333334
Florida,Med,0.0,0.8,2,3,inner_val,5.142,5.314,0.0,51.26,2174.0333999999993,2057.595,23.423133333333336,0.46169200000000005,23.884825333333335
Florida,Med,0.0,0.8,2,4,inner_val,4.934,6.021,0.0,46.395,2352.8635999999997,2024.288,109.5252,0.0,109.5252
Florida,Med,0.0,0.8,2,-1,outer_test,5.212,5.771,0.0,49.759,2155.595,2072.082,27.837666666666664,0.0,27.837666666666664
Florida,Med,0.0,0.8,3,0,inner_val,5.209,5.294,0.0,51.063,2108.7716,2063.105,14.7624,0.013793999999999999,14.776194
Florida,Med,0.0,0.8,3,1,inner_val,5.227,5.358,0.0,51.266,2091.5344,2069.184,7.4501333333333335,0.0,7.4501333333333335
Florida,Med,0.0,0.8,3,2,inner_val,5.142,5.314,0.0,51.26,2153.4588,2057.595,31.52746666666667,0.012814,31.540280666666668
Florida,Med,0.0,0.8,3,4,inner_val,4.767,5.421,0.0,46.608,2435.8106,1983.3790000000001,147.16473333333332,0.109374,147.27410733333332
Florida,Med,0.0,0.8,3,-1,outer_test,5.117,5.321,0.0,50.711,2175.9217999999996,2050.85,25.819733333333332,0.476126,26.295859333333333
Florida,Med,0.0,0.8,4,0,inner_val,4.979,5.98,0.0,46.346,2097.4512,2027.5489999999998,23.300733333333337,0.0,23.300733333333337
Florida,Med,0.0,0.8,4,1,inner_val,5.041,5.925,0.0,47.303,2072.0073999999995,2039.789,10.739466666666665,0.0,10.739466666666665
Florida,Med,0.0,0.8,4,2,inner_val,4.934,6.021,0.0,46.395,2146.3104,2024.288,40.67413333333333,0.0,40.67413333333333
Florida,Med,0.0,0.8,4,3,inner_val,4.767,5.421,0.0,46.608,2227.2254000000003,1983.3790000000001,58.6808,0.6780360000000001,59.358836
Florida,Med,0.0,0.8,4,-1,outer_test,4.952,6.005,0.0,46.115,2352.2213999999994,2023.6529999999998,109.5228,0.0,109.5228
