climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Minnesota,High,0.25,0.8,0,1,inner_val,31.367,13.229,255.264,0.0,8024.703600000001,6931.719999999999,109.29836,0.0,109.29836
Minnesota,High,0.25,0.8,0,2,inner_val,32.566,13.229,239.15,0.0,7890.633400000001,6949.655000000001,94.09783999999999,0.0,94.09783999999999
Minnesota,High,0.25,0.8,0,3,inner_val,31.6,13.209,251.716,0.0,8194.7268,6931.306,126.34208000000001,0.0,126.34208000000001
Minnesota,High,0.25,0.8,0,4,inner_val,31.447,13.918,250.041,0.0,7765.277799999999,6928.387,83.68907999999999,0.0,83.68907999999999
Minnesota,High,0.25,0.8,0,-1,outer_test,31.591,13.229,251.726,0.0,7049.6464,6931.111,11.85354,0.0,11.85354
Minnesota,High,0.25,0.8,1,0,inner_val,31.367,13.229,255.264,0.0,7049.704,6931.719999999999,11.798399999999999,0.0,11.798399999999999
Minnesota,High,0.25,0.8,1,2,inner_val,30.792,12.684,228.727,0.0,7954.6014,6644.9169999999995,130.96844,0.0,130.96844
Minnesota,High,0.25,0.8,1,3,inner_val,29.514,13.033,254.465,0.0,8296.51,6703.535000000001,159.29749999999999,0.0,159.29749999999999
Minnesota,High,0.25,0.8,1,4,inner_val,30.926,14.305,242.701,0.0,7756.4444,6827.897,92.85473999999998,0.0,92.85473999999998
Minnesota,High,0.25,0.8,1,-1,outer_test,30.952,13.486,245.451,0.0,8007.892599999999,6819.928,118.79646,0.0,118.79646
Minnesota,High,0.25,0.8,2,0,inner_val,32.566,13.229,239.15,0.0,7067.9018,6949.655000000001,11.82468,0.0,11.82468
Minnesota,High,0.25,0.8,2,1,inner_val,30.792,12.684,228.727,0.0,8012.818800000001,6644.9169999999995,136.79018000000002,0.0,136.79018000000002
Minnesota,High,0.25,0.8,2,3,inner_val,30.662,12.413,237.595,0.0,8229.167400000002,6685.9529999999995,154.32144,0.0,154.32144
Minnesota,High,0.25,0.8,2,4,inner_val,31.43,12.667,236.775,0.0,7743.462599999999,6778.556999999999,96.49056,0.0,96.49056
Minnesota,High,0.25,0.8,2,-1,outer_test,31.391,12.667,237.141,0.0,7893.0856,6776.786999999999,111.62986000000001,0.0,111.62986000000001
Minnesota,High,0.25,0.8,3,0,inner_val,31.6,13.209,251.716,0.0,7049.914199999999,6931.306,11.860819999999999,0.0,11.860819999999999
Minnesota,High,0.25,0.8,3,1,inner_val,29.514,13.033,254.465,0.0,8021.330600000001,6703.535000000001,131.77956,0.0,131.77956
Minnesota,High,0.25,0.8,3,2,inner_val,30.662,12.413,237.595,0.0,7911.3996,6685.9529999999995,122.54466,0.0,122.54466
Minnesota,High,0.25,0.8,3,4,inner_val,30.289,13.645,248.577,0.0,7756.0092,6772.736,98.32732,0.0,98.32732
Minnesota,High,0.25,0.8,3,-1,outer_test,30.312,13.186,249.803,0.0,8235.445600000001,6766.88,146.85656,0.0,146.85656
Minnesota,High,0.25,0.8,4,0,inner_val,31.447,13.918,250.041,0.0,7043.962399999999,6928.387,11.55754,0.0,11.55754
Minnesota,High,0.25,0.8,4,1,inner_val,30.926,14.305,242.701,0.0,8009.5476,6827.897,118.16506000000001,0.0,118.16506000000001
Minnesota,High,0.25,0.8,4,2,inner_val,31.43,12.667,236.775,0.0,7894.209,6778.556999999999,111.5652,0.0,111.5652
Minnesota,High,0.25,0.8,4,3,inner_val,30.289,13.645,248.577,0.0,8233.5056,6772.736,146.07696,0.0,146.07696
Minnesota,High,0.25,0.8,4,-1,outer_test,31.178,14.057,240.513,0.0,7753.2764,6831.089,92.21874,0.0,92.21874
