climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Minnesota,High,0.0,0.8,0,1,inner_val,31.306,13.229,248.179,0.0,8011.3902,6871.481,113.99092,0.0,113.99092
Minnesota,High,0.0,0.8,0,2,inner_val,31.598,12.501,237.119,0.0,7893.8126,6794.188,109.96246000000001,0.0,109.96246000000001
Minnesota,High,0.0,0.8,0,3,inner_val,30.828,12.958,247.986,0.0,8212.2526,6804.206,140.80465999999998,0.0,140.80465999999998
Minnesota,High,0.0,0.8,0,4,inner_val,31.487,13.42,247.382,0.0,7758.2282000000005,6893.837000000001,86.43912,0.0,86.43912
Minnesota,High,0.0,0.8,0,-1,outer_test,31.473,12.985,244.043,0.0,6991.5194,6850.361999999999,14.115739999999999,0.0,14.115739999999999
Minnesota,High,0.0,0.8,1,0,inner_val,31.306,13.229,248.179,0.0,7005.4622,6871.481,13.39812,0.0,13.39812
Minnesota,High,0.0,0.8,1,2,inner_val,30.694,12.582,225.013,0.0,7986.256200000001,6601.753999999999,138.45022,0.0,138.45022
Minnesota,High,0.0,0.8,1,3,inner_val,29.5,13.229,244.328,0.0,8300.5684,6633.401,166.71674,0.0,166.71674
Minnesota,High,0.0,0.8,1,4,inner_val,30.475,13.765,240.902,0.0,7747.421400000001,6741.311,100.61103999999999,0.0,100.61103999999999
Minnesota,High,0.0,0.8,1,-1,outer_test,30.605,13.229,238.748,0.0,8003.8742,6719.508,128.43662,0.0,128.43662
Minnesota,High,0.0,0.8,2,0,inner_val,31.598,12.501,237.119,0.0,6956.902,6794.188,16.2714,0.0,16.2714
Minnesota,High,0.0,0.8,2,1,inner_val,30.694,12.582,225.013,0.0,8022.482999999998,6601.753999999999,142.0729,0.0,142.0729
Minnesota,High,0.0,0.8,2,3,inner_val,29.485,12.027,234.945,0.0,8326.579800000001,6514.837,181.17428,0.0,181.17428
Minnesota,High,0.0,0.8,2,4,inner_val,30.815,12.409,231.12,0.0,7737.2594,6654.924000000001,108.23353999999999,0.0,108.23353999999999
Minnesota,High,0.0,0.8,2,-1,outer_test,30.815,12.409,230.003,0.0,7951.2526,6646.539999999999,130.47126,0.0,130.47126
Minnesota,High,0.0,0.8,3,0,inner_val,30.828,12.958,247.986,0.0,6958.008,6804.206,15.380199999999999,0.0,15.380199999999999
Minnesota,High,0.0,0.8,3,1,inner_val,29.5,13.229,244.328,0.0,8015.803,6633.401,138.24020000000002,0.0,138.24020000000002
Minnesota,High,0.0,0.8,3,2,inner_val,29.485,12.027,234.945,0.0,7979.399800000002,6514.837,146.45628000000002,0.0,146.45628000000002
Minnesota,High,0.0,0.8,3,4,inner_val,29.436,13.493,244.797,0.0,7750.6233999999995,6639.700999999999,111.09223999999999,0.0,111.09223999999999
Minnesota,High,0.0,0.8,3,-1,outer_test,29.56,12.985,244.341,0.0,8298.230800000001,6631.028,166.72027999999997,0.0,166.72027999999997
Minnesota,High,0.0,0.8,4,0,inner_val,31.487,13.42,247.382,0.0,7021.0542000000005,6893.837000000001,12.721720000000001,0.0,12.721720000000001
Minnesota,High,0.0,0.8,4,1,inner_val,30.475,13.765,240.902,0.0,8006.3607999999995,6741.311,126.50498,0.0,126.50498
Minnesota,High,0.0,0.8,4,2,inner_val,30.815,12.409,231.12,0.0,7943.360000000001,6654.924000000001,128.84359999999998,0.0,128.84359999999998
Minnesota,High,0.0,0.8,4,3,inner_val,29.436,13.493,244.797,0.0,8302.9408,6639.700999999999,166.32397999999998,0.0,166.32397999999998
Minnesota,High,0.0,0.8,4,-1,outer_test,30.778,13.491,237.987,0.0,7744.3042000000005,6743.948999999999,100.03551999999999,0.0,100.03551999999999
