climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Minnesota,Low,0.5,0.8,0,1,inner_val,15.314,5.576,145.841,0.0,5081.5028,3955.708,1125.7948000000001,0.0,1125.7948000000001
Minnesota,Low,0.5,0.8,0,2,inner_val,15.362,5.608,146.445,0.0,5219.2892,3967.036,1252.2531999999999,0.0,1252.2531999999999
Minnesota,Low,0.5,0.8,0,3,inner_val,14.719,5.946,134.367,0.0,5252.531199999999,3814.964,1437.5672000000002,0.0,1437.5672000000002
Minnesota,Low,0.5,0.8,0,4,inner_val,14.789,5.576,143.242,0.0,5162.817999999999,3875.3949999999995,1287.423,0.0,1287.423
Minnesota,Low,0.5,0.8,0,-1,outer_test,15.071,5.608,141.695,0.0,4818.6812,3897.682,920.9992,0.0,920.9992
Minnesota,Low,0.5,0.8,1,0,inner_val,15.314,5.576,145.841,0.0,4834.123799999999,3955.708,878.4158000000001,0.0,878.4158000000001
Minnesota,Low,0.5,0.8,1,2,inner_val,15.421,5.6,145.004,0.0,5217.8148,3962.746,1255.0688,0.0,1255.0688
Minnesota,Low,0.5,0.8,1,3,inner_val,14.692,5.599,130.721,0.0,5254.9472000000005,3771.076,1483.8712,0.0,1483.8712
Minnesota,Low,0.5,0.8,1,4,inner_val,14.875,5.471,138.347,0.0,5158.356999999999,3844.564,1313.6394,0.00512,1313.64452
Minnesota,Low,0.5,0.8,1,-1,outer_test,15.016,5.576,137.638,0.0,5073.4906,3859.6279999999997,1213.8626,0.0,1213.8626
Minnesota,Low,0.5,0.8,2,0,inner_val,15.362,5.608,146.445,0.0,4837.1064,3967.036,870.0704,0.0,870.0704
Minnesota,Low,0.5,0.8,2,1,inner_val,15.421,5.6,145.004,0.0,5082.1957999999995,3962.746,1119.4498,0.0,1119.4498
Minnesota,Low,0.5,0.8,2,3,inner_val,14.686,5.923,132.415,0.0,5253.964999999999,3795.6040000000003,1458.361,0.0,1458.361
Minnesota,Low,0.5,0.8,2,4,inner_val,15.163,5.576,142.184,0.0,5159.6762,3910.772,1248.9041999999997,0.0,1248.9041999999997
Minnesota,Low,0.5,0.8,2,-1,outer_test,15.202,5.619,141.623,0.0,5213.0162,3912.739,1300.2772,0.0,1300.2772
Minnesota,Low,0.5,0.8,3,0,inner_val,14.719,5.946,134.367,0.0,4799.1926,3814.964,984.2286,0.0,984.2286
Minnesota,Low,0.5,0.8,3,1,inner_val,14.692,5.599,130.721,0.0,5071.088399999999,3771.076,1300.0124,0.0,1300.0124
Minnesota,Low,0.5,0.8,3,2,inner_val,14.686,5.923,132.415,0.0,5207.0478,3795.6040000000003,1411.4437999999998,0.0,1411.4437999999998
Minnesota,Low,0.5,0.8,3,4,inner_val,14.387,5.576,130.529,0.0,5159.9132,3733.421,1426.4922000000001,0.0,1426.4922000000001
Minnesota,Low,0.5,0.8,3,-1,outer_test,14.624,5.631,132.348,0.0,5253.1882,3776.647,1476.5412,0.0,1476.5412
Minnesota,Low,0.5,0.8,4,0,inner_val,14.789,5.576,143.242,0.0,4817.3324,3875.3949999999995,941.9374,0.0,941.9374
Minnesota,Low,0.5,0.8,4,1,inner_val,14.875,5.471,138.347,0.0,5072.1914,3844.564,1227.4738000000002,0.00512,1227.4789200000002
Minnesota,Low,0.5,0.8,4,2,inner_val,15.163,5.576,142.184,0.0,5213.333799999999,3910.772,1302.5618,0.0,1302.5618
Minnesota,Low,0.5,0.8,4,3,inner_val,14.387,5.576,130.529,0.0,5255.8438,3733.421,1522.4227999999998,0.0,1522.4227999999998
Minnesota,Low,0.5,0.8,4,-1,outer_test,14.648,5.576,138.229,0.0,5159.366,3821.44,1337.9260000000002,0.0,1337.9260000000002
