climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Minnesota,Low,0.0,0.95,0,1,inner_val,14.872,5.576,134.577,0.0,5071.7394,3819.976,1251.7634,0.0,1251.7634
Minnesota,Low,0.0,0.95,0,2,inner_val,14.698,5.576,135.776,0.0,5207.465,3808.822,1398.643,0.0,1398.643
Minnesota,Low,0.0,0.95,0,3,inner_val,14.658,5.576,132.949,0.0,5252.4764000000005,3782.972,1469.5044,0.0,1469.5044
Minnesota,Low,0.0,0.95,0,4,inner_val,14.458,5.303,136.302,0.0,5160.959199999999,3774.432,1386.1266,0.013353333333333333,1386.1399533333333
Minnesota,Low,0.0,0.95,0,-1,outer_test,14.644,5.576,134.348,0.0,4794.962600000001,3791.85,1003.1126,0.0,1003.1126
Minnesota,Low,0.0,0.95,1,0,inner_val,14.872,5.576,134.577,0.0,4799.0794000000005,3819.976,979.1034,0.0,979.1034
Minnesota,Low,0.0,0.95,1,2,inner_val,14.367,5.576,130.584,0.0,5205.484200000001,3731.517,1473.9672,0.0,1473.9672
Minnesota,Low,0.0,0.95,1,3,inner_val,14.273,5.576,126.643,0.0,5261.7674,3691.0520000000006,1570.7154,0.0,1570.7154
Minnesota,Low,0.0,0.95,1,4,inner_val,14.086,5.387,129.284,0.0,5164.9842,3681.918,1482.7890000000002,0.00924,1482.7982400000003
Minnesota,Low,0.0,0.95,1,-1,outer_test,14.387,5.576,130.382,0.0,5069.5964,3732.318,1337.2784,0.0,1337.2784
Minnesota,Low,0.0,0.95,2,0,inner_val,14.698,5.576,135.776,0.0,4798.4704,3808.822,989.6484,0.0,989.6484
Minnesota,Low,0.0,0.95,2,1,inner_val,14.367,5.576,130.584,0.0,5069.4673999999995,3731.517,1337.9504,0.0,1337.9504
Minnesota,Low,0.0,0.95,2,3,inner_val,14.144,5.576,127.983,0.0,5260.648,3686.168,1574.48,0.0,1574.48
Minnesota,Low,0.0,0.95,2,4,inner_val,14.052,5.437,130.393,0.0,5164.631800000001,3688.233,1476.1952,0.0067866666666666665,1476.2019866666667
Minnesota,Low,0.0,0.95,2,-1,outer_test,14.367,5.576,131.687,0.0,5205.7994,3739.796,1466.0034,0.0,1466.0034
Minnesota,Low,0.0,0.95,3,0,inner_val,14.658,5.576,132.949,0.0,4792.6957999999995,3782.972,1009.7238,0.0,1009.7238
Minnesota,Low,0.0,0.95,3,1,inner_val,14.273,5.576,126.643,0.0,5072.2464,3691.0520000000006,1381.1943999999999,0.0,1381.1943999999999
Minnesota,Low,0.0,0.95,3,2,inner_val,14.144,5.576,127.983,0.0,5206.645600000001,3686.168,1520.4776,0.0,1520.4776
Minnesota,Low,0.0,0.95,3,4,inner_val,13.969,5.518,127.398,0.0,5166.776599999999,3659.2689999999993,1507.423,0.00282,1507.42582
Minnesota,Low,0.0,0.95,3,-1,outer_test,14.273,5.576,128.769,0.0,5258.7880000000005,3707.0080000000003,1551.78,0.0,1551.78
Minnesota,Low,0.0,0.95,4,0,inner_val,14.458,5.303,136.302,0.0,4795.1014,3774.432,1019.8682000000001,0.026706666666666667,1019.8949066666668
Minnesota,Low,0.0,0.95,4,1,inner_val,14.086,5.387,129.284,0.0,5070.5802,3681.918,1388.3852,0.00924,1388.39444
Minnesota,Low,0.0,0.95,4,2,inner_val,14.052,5.437,130.393,0.0,5206.8048,3688.233,1518.3682000000001,0.0067866666666666665,1518.3749866666667
Minnesota,Low,0.0,0.95,4,3,inner_val,13.969,5.518,127.398,0.0,5262.7976,3659.2689999999993,1603.4442000000001,0.00282,1603.44702
Minnesota,Low,0.0,0.95,4,-1,outer_test,14.193,5.417,131.016,0.0,5162.7918,3708.468,1454.0908,0.007766666666666667,1454.0985666666666
