climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Minnesota,Med,0.75,0.95,0,1,inner_val,25.367,9.795,201.039,0.0,6564.545,5697.235,289.10333333333335,0.0,289.10333333333335
Minnesota,Med,0.75,0.95,0,2,inner_val,22.307,9.209,217.731,0.0,6614.549400000001,5445.466,389.69446666666664,0.0,389.69446666666664
Minnesota,Med,0.75,0.95,0,3,inner_val,25.367,9.795,201.039,0.0,6757.7504,5697.235,353.50513333333333,0.0,353.50513333333333
Minnesota,Med,0.75,0.95,0,4,inner_val,25.367,9.795,201.039,0.0,6439.1366,5697.235,247.3005333333333,0.0,247.3005333333333
Minnesota,Med,0.75,0.95,0,-1,outer_test,25.367,9.795,201.039,0.0,6085.590399999999,5697.235,129.45180000000002,0.0,129.45180000000002
Minnesota,Med,0.75,0.95,1,0,inner_val,25.367,9.795,201.039,0.0,6085.590399999999,5697.235,129.45180000000002,0.0,129.45180000000002
Minnesota,Med,0.75,0.95,1,2,inner_val,23.489,9.273,206.571,0.0,6607.887999999999,5501.083,368.93499999999995,0.0,368.93499999999995
Minnesota,Med,0.75,0.95,1,3,inner_val,25.367,9.795,201.039,0.0,6757.7504,5697.235,353.50513333333333,0.0,353.50513333333333
Minnesota,Med,0.75,0.95,1,4,inner_val,25.367,9.795,201.039,0.0,6439.1366,5697.235,247.3005333333333,0.0,247.3005333333333
Minnesota,Med,0.75,0.95,1,-1,outer_test,25.367,9.795,201.039,0.0,6564.545,5697.235,289.10333333333335,0.0,289.10333333333335
Minnesota,Med,0.75,0.95,2,0,inner_val,22.307,9.209,217.731,0.0,6029.861200000001,5445.466,194.79840000000002,0.0,194.79840000000002
Minnesota,Med,0.75,0.95,2,1,inner_val,23.489,9.273,206.571,0.0,6517.190199999999,5501.083,338.7024,0.0,338.7024
Minnesota,Med,0.75,0.95,2,3,inner_val,22.288,9.369,209.683,0.0,6763.1644,5389.041,458.04113333333333,0.0,458.04113333333333
Minnesota,Med,0.75,0.95,2,4,inner_val,22.304,9.236,211.807,0.0,6389.6648000000005,5401.701,329.32126666666665,0.0,329.32126666666665
Minnesota,Med,0.75,0.95,2,-1,outer_test,22.295,9.309,211.637,0.0,6611.106600000001,5402.201,402.96853333333337,0.0,402.96853333333337
Minnesota,Med,0.75,0.95,3,0,inner_val,25.367,9.795,201.039,0.0,6085.590399999999,5697.235,129.45180000000002,0.0,129.45180000000002
Minnesota,Med,0.75,0.95,3,1,inner_val,25.367,9.795,201.039,0.0,6564.545,5697.235,289.10333333333335,0.0,289.10333333333335
Minnesota,Med,0.75,0.95,3,2,inner_val,22.288,9.369,209.683,0.0,6610.500999999999,5389.041,407.1533333333334,0.0,407.1533333333334
Minnesota,Med,0.75,0.95,3,4,inner_val,25.367,9.795,201.039,0.0,6439.1366,5697.235,247.3005333333333,0.0,247.3005333333333
Minnesota,Med,0.75,0.95,3,-1,outer_test,25.367,9.795,201.039,0.0,6757.7504,5697.235,353.50513333333333,0.0,353.50513333333333
Minnesota,Med,0.75,0.95,4,0,inner_val,25.367,9.795,201.039,0.0,6085.590399999999,5697.235,129.45180000000002,0.0,129.45180000000002
Minnesota,Med,0.75,0.95,4,1,inner_val,25.367,9.795,201.039,0.0,6564.545,5697.235,289.10333333333335,0.0,289.10333333333335
Minnesota,Med,0.75,0.95,4,2,inner_val,22.304,9.236,211.807,0.0,6611.197999999999,5401.701,403.1656666666666,0.0,403.1656666666666
Minnesota,Med,0.75,0.95,4,3,inner_val,25.367,9.795,201.039,0.0,6757.7504,5697.235,353.50513333333333,0.0,353.50513333333333
Minnesota,Med,0.75,0.95,4,-1,outer_test,25.367,9.795,201.039,0.0,6439.1366,5697.235,247.3005333333333,0.0,247.3005333333333
