climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Minnesota,Med,0.0,0.8,0,1,inner_val,23.027,9.36,197.848,0.0,6500.263800000001,5385.465,371.5996,0.0,371.5996
Minnesota,Med,0.0,0.8,0,2,inner_val,22.955,9.097,193.188,0.0,6612.3366,5331.998,426.77953333333335,0.0,426.77953333333335
Minnesota,Med,0.0,0.8,0,3,inner_val,22.741,9.193,195.635,0.0,6755.135400000001,5329.283,475.28413333333333,0.0,475.28413333333333
Minnesota,Med,0.0,0.8,0,4,inner_val,22.877,9.017,197.819,0.0,6376.6669999999995,5354.631,340.67866666666663,0.0,340.67866666666663
Minnesota,Med,0.0,0.8,0,-1,outer_test,22.868,9.141,196.598,0.0,5979.9516,5349.212,210.24653333333333,0.0,210.24653333333333
Minnesota,Med,0.0,0.8,1,0,inner_val,23.027,9.36,197.848,0.0,5986.276,5385.465,200.27033333333335,0.0,200.27033333333335
Minnesota,Med,0.0,0.8,1,2,inner_val,22.811,9.389,187.551,0.0,6621.6846000000005,5284.286,445.79953333333333,0.0,445.79953333333333
Minnesota,Med,0.0,0.8,1,3,inner_val,22.583,9.445,194.06,0.0,6757.780000000001,5308.891,482.96299999999997,0.0,482.96299999999997
Minnesota,Med,0.0,0.8,1,4,inner_val,22.814,9.389,194.203,0.0,6375.4482,5334.558,346.9633999999999,0.0,346.9633999999999
Minnesota,Med,0.0,0.8,1,-1,outer_test,22.814,9.389,194.156,0.0,6494.2106,5334.205,386.6685333333333,0.0,386.6685333333333
Minnesota,Med,0.0,0.8,2,0,inner_val,22.955,9.097,193.188,0.0,5975.956399999999,5331.998,214.65279999999998,0.0,214.65279999999998
Minnesota,Med,0.0,0.8,2,1,inner_val,22.811,9.389,187.551,0.0,6490.6004,5284.286,402.1048,0.0,402.1048
Minnesota,Med,0.0,0.8,2,3,inner_val,22.424,9.236,188.237,0.0,6762.9758,5238.704,508.0906,0.0,508.0906
Minnesota,Med,0.0,0.8,2,4,inner_val,22.501,9.039,188.789,0.0,6380.0532,5244.16,378.63106666666664,0.0,378.63106666666664
Minnesota,Med,0.0,0.8,2,-1,outer_test,22.705,9.209,188.362,0.0,6620.9852,5271.146,449.9464,0.0,449.9464
Minnesota,Med,0.0,0.8,3,0,inner_val,22.741,9.193,195.635,0.0,5975.948399999999,5329.283,215.55513333333337,0.0,215.55513333333337
Minnesota,Med,0.0,0.8,3,1,inner_val,22.583,9.445,194.06,0.0,6492.290999999999,5308.891,394.4666666666667,0.0,394.4666666666667
Minnesota,Med,0.0,0.8,3,2,inner_val,22.424,9.236,188.237,0.0,6623.505799999999,5238.704,461.6006,0.0,461.6006
Minnesota,Med,0.0,0.8,3,4,inner_val,22.381,9.229,191.193,0.0,6379.598800000001,5255.639,374.6532666666667,0.0,374.6532666666667
Minnesota,Med,0.0,0.8,3,-1,outer_test,22.462,9.284,193.003,0.0,6760.077,5280.728,493.11633333333333,0.0,493.11633333333333
Minnesota,Med,0.0,0.8,4,0,inner_val,22.877,9.017,197.819,0.0,5982.129800000001,5354.631,209.1662666666667,0.0,209.1662666666667
Minnesota,Med,0.0,0.8,4,1,inner_val,22.814,9.389,194.203,0.0,6494.253199999999,5334.558,386.5650666666666,0.0,386.5650666666666
Minnesota,Med,0.0,0.8,4,2,inner_val,22.501,9.039,188.789,0.0,6622.877399999999,5244.16,459.5724666666667,0.0,459.5724666666667
Minnesota,Med,0.0,0.8,4,3,inner_val,22.381,9.229,191.193,0.0,6762.1416,5255.639,502.16753333333327,0.0,502.16753333333327
Minnesota,Med,0.0,0.8,4,-1,outer_test,22.642,9.195,192.51,0.0,6376.951999999999,5294.44,360.8373333333334,0.0,360.8373333333334
