architecture,location,method,capital_cost_mean,penalty_mean,hvac_penalty_mean,critical_penalty_mean,total_cost_mean,total_cost_std,total_cost_count
PVB,Alaska,LP_Avg,9604.0816,8642.564559999999,8642.564559999999,0.0,18246.646159999997,2336.72349216927,5
PCM,Alaska,LP_Avg,8797.5692,8687.52116,8687.52116,0.0,17485.09036,2370.2618182747933,5
PVB,Alaska,LP_Worst,13102.6926,5878.970679999999,5878.970679999999,0.0,18981.66328,1864.5527174458248,5
PCM,Alaska,LP_Worst,11855.591,6214.46464,6214.46464,0.0,18070.05564,1939.6919765254884,5
PVB,Alaska,SO_CVaR,10504.4536,7848.27516,7848.27516,0.0,18352.72876,2222.499987438171,5
PCM,Alaska,SO_CVaR,9730.9466,7839.644560000001,7839.644560000001,0.0,17570.59116,2261.5422357766615,5
PVB,Minnesota,LP_Avg,6124.9578,1403.64532,1403.64532,0.0,7528.60312,340.1740311030696,5
PCM,Minnesota,LP_Avg,5316.963000000001,1129.39708,1129.39708,0.0,6446.36008,295.2685321040703,5
PVB,Minnesota,LP_Worst,6910.556400000001,846.04224,846.04224,0.0,7756.598640000001,208.9070856753981,5
PCM,Minnesota,LP_Worst,5812.494199999999,738.3356799999999,738.3356799999999,0.0,6550.82988,227.79174461334637,5
PVB,Minnesota,SO_CVaR,6329.3542,1215.10268,1215.10268,0.0,7544.45688,321.2771133619882,5
PCM,Minnesota,SO_CVaR,5568.272999999999,905.20148,905.20148,0.0,6473.47448,267.9746703834374,5
PVB,California,LP_Avg,2132.18,364.98764,364.98764,0.0,2497.16764,133.74123310867137,5
PCM,California,LP_Avg,2040.2761999999998,308.28104,235.92516,72.35588,2348.55728,157.32985247769065,5
PVB,California,LP_Worst,2290.2232,230.44392,230.44392,0.0,2520.66712,97.80096214103396,5
PCM,California,LP_Worst,2286.9634,114.87128,89.34612,25.52516,2401.83468,66.70344889293204,5
PVB,California,SO_CVaR,2238.1953999999996,268.51851999999997,268.51851999999997,0.0,2506.7139199999997,110.36430570312129,5
PCM,California,SO_CVaR,2224.8426,152.08112,136.52212,15.559000000000001,2376.9237200000002,66.69003938289457,5
PVB,Arizona,LP_Avg,2543.5126,320.81512,320.81512,0.0,2864.32772,69.68428246779914,5
PCM,Arizona,LP_Avg,2487.9775999999997,238.59427999999997,238.59427999999997,0.0,2726.57188,52.663892370313796,5
PVB,Arizona,LP_Worst,2654.2183999999997,228.95915999999997,228.95915999999997,0.0,2883.17756,49.425982795570285,5
PCM,Arizona,LP_Worst,2576.4764000000005,167.4452,167.4452,0.0,2743.9216,40.03128071096379,5
PVB,Arizona,SO_CVaR,2657.2526000000003,223.72284,223.72284,0.0,2880.97544,47.19233776396317,5
PCM,Arizona,SO_CVaR,2557.1908,180.64364,180.64364,0.0,2737.83444,42.83602955909885,5
PVB,Florida,LP_Avg,2271.9402,195.50748,195.50748,0.0,2467.44768,173.77490746178518,5
PCM,Florida,LP_Avg,2020.0178,167.76972,141.64496,26.124760000000002,2187.7875599999998,126.56972574082623,5
PVB,Florida,LP_Worst,2462.924,45.44948000000001,45.44948000000001,0.0,2508.3734800000007,36.512968853983644,5
PCM,Florida,LP_Worst,2148.1589999999997,58.62372,58.26652,0.3572,2206.78272,53.08828461131497,5
PVB,Florida,SO_CVaR,2442.3078,61.90219999999999,61.90219999999999,0.0,2504.21,49.24548593932252,5
PCM,Florida,SO_CVaR,2141.5451999999996,51.76716,51.4942,0.27296,2193.31232,45.49209634686022,5
