architecture,climate,SO_CVaR_total,LP_Avg_total,LP_Worst_total,pct_vs_LP_Avg,pct_vs_LP_Worst
PVB,Polar (AK),18352.7,18246.6,18981.7,0.58,-3.31
PVB,Continental (MN),7544.5,7528.6,7756.6,0.21,-2.73
PVB,Marine (CA),2506.7,2497.2,2520.7,0.38,-0.55
PVB,Arid (AZ),2881.0,2864.3,2883.2,0.58,-0.08
PVB,Tropical (FL),2504.2,2467.4,2508.4,1.49,-0.17
PCM,Polar (AK),17570.6,17485.1,18070.1,0.49,-2.76
PCM,Continental (MN),6473.5,6446.4,6550.8,0.42,-1.18
PCM,Marine (CA),2376.9,2348.6,2401.8,1.21,-1.04
PCM,Arid (AZ),2737.8,2726.6,2743.9,0.41,-0.22
PCM,Tropical (FL),2193.3,2187.8,2206.8,0.25,-0.61
