architecture,location,method,voll,train,test,ratio
PVB,Alaska,LP_Avg,Low,6228.667782666668,6249.218757333333,1.003299417368808
PVB,Alaska,LP_Avg,Med,2810.80952,2880.8548533333333,1.0249199858029987
PVB,Alaska,LP_Avg,High,528.866036,632.330112,1.1956338069703534
PVB,Alaska,LP_Worst,Low,8406.5098,6184.197054666666,0.735643828627508
PVB,Alaska,LP_Worst,Med,3312.0468666666666,1959.6568933333333,0.5916754720640729
PVB,Alaska,LP_Worst,High,661.50958,244.87171199999997,0.370171074468793
PVB,Alaska,SO_CVaR,Low,6034.56354,6030.62968,0.9993481119265835
PVB,Alaska,SO_CVaR,Med,2604.715266666667,2616.09172,1.0043676379829
PVB,Alaska,SO_CVaR,High,319.5757,353.014092,1.1046337127635175
PVB,Minnesota,LP_Avg,Low,1930.1296000000002,1960.59748,1.015785406327119
PVB,Minnesota,LP_Avg,Med,438.18768,467.88177333333334,1.0677656965009452
PVB,Minnesota,LP_Avg,High,103.88734,130.694876,1.2580443006818733
PVB,Minnesota,LP_Worst,Low,2408.3948,1832.1673999999998,0.7607421341384726
PVB,Minnesota,LP_Worst,Med,566.0062,282.01408,0.49825263398174785
PVB,Minnesota,LP_Worst,High,279.40224,136.872828,0.48987734672420663
PVB,Minnesota,SO_CVaR,Low,1822.8914,1822.1515200000001,0.9995941173456632
PVB,Minnesota,SO_CVaR,Med,402.6653333333333,405.03422666666665,1.005883032725274
PVB,Minnesota,SO_CVaR,High,64.43526,65.38162,1.0146869897009805
PVB,California,LP_Avg,Low,344.5156533333334,359.3158133333333,1.0429593252347236
PVB,California,LP_Avg,Med,111.11982666666665,121.66254666666666,1.0948770378451516
PVB,California,LP_Avg,High,28.199168000000004,37.214256,1.3196934037202797
PVB,California,LP_Worst,Low,475.4808,325.176212,0.6838892590405333
PVB,California,LP_Worst,Med,165.90773333333334,76.81464,0.46299613921955013
PVB,California,LP_Worst,High,23.77522,11.463168,0.48214771514206806
PVB,California,SO_CVaR,Low,305.68612666666667,305.30328,0.9987475824603445
PVB,California,SO_CVaR,Med,88.5578,89.50617333333335,1.0107090886780539
PVB,California,SO_CVaR,High,12.612660000000002,13.591759999999999,1.0776283511963374
PVB,Arizona,LP_Avg,Low,312.49519999999995,324.4914,1.0383884296462795
PVB,Arizona,LP_Avg,Med,101.39662666666666,106.93837333333332,1.054654152202565
PVB,Arizona,LP_Avg,High,24.306019999999997,29.780344000000003,1.225225026557207
PVB,Arizona,LP_Worst,Low,370.507,247.37363999999997,0.6676625272936813
PVB,Arizona,LP_Worst,Med,139.358,76.31971999999999,0.5476522338150661
PVB,Arizona,LP_Worst,High,36.88772,16.386728,0.44423260640668494
PVB,Arizona,SO_CVaR,Low,221.13140000000004,224.98548,1.0174289133067487
PVB,Arizona,SO_CVaR,Med,73.88446666666667,74.57428,1.0093363783276053
PVB,Arizona,SO_CVaR,High,15.9799,17.327796,1.0843494640141678
PVB,Florida,LP_Avg,Low,203.22692,245.72484,1.2091156033856145
PVB,Florida,LP_Avg,Med,43.23468,65.16915999999999,1.5073353150757678
PVB,Florida,LP_Avg,High,6.7845200000000006,16.509412,2.4333942563364834
PVB,Florida,LP_Worst,Low,155.0672,79.72655999999999,0.5141419977919249
PVB,Florida,LP_Worst,Med,42.8268,15.149826666666666,0.35374640801242835
PVB,Florida,LP_Worst,High,5.76106,5.0735600000000005,0.8806643221907081
PVB,Florida,SO_CVaR,Low,78.00280000000001,99.56512000000001,1.2764300768690355
PVB,Florida,SO_CVaR,Med,14.611333333333334,20.634066666666666,1.4121960122279507
PVB,Florida,SO_CVaR,High,2.8719,6.1824520000000005,2.1527393015077125
PCM,Alaska,LP_Avg,Low,5463.619784,5509.378773333334,1.0083752148103968
PCM,Alaska,LP_Avg,Med,2821.4035866666663,2895.8403866666667,1.026382896921154
PCM,Alaska,LP_Avg,High,479.09152400000005,604.475616,1.2617121900908435
PCM,Alaska,LP_Worst,Low,7340.1802,5203.317548000001,0.70888144517215
PCM,Alaska,LP_Worst,Med,3485.9064666666663,2071.488213333333,0.5942466423415415
PCM,Alaska,LP_Worst,High,467.05789999999996,201.596784,0.4316312474320636
PCM,Alaska,SO_CVaR,Low,5158.404546666667,5159.230165333333,1.0001600531054122
