architecture,location,method,voll,worst_unmet,cost_sd
PVB,Alaska,LP_Avg,Low,7244.677693333333,870.9820124560022
PVB,Alaska,LP_Avg,Med,3787.006533333333,2336.7234921692693
PVB,Alaska,LP_Avg,High,1302.26042,3622.057315057874
PVB,Alaska,LP_Worst,Low,7252.1654266666665,870.909098889185
PVB,Alaska,LP_Worst,Med,3170.5755333333327,1864.5527174458255
PVB,Alaska,LP_Worst,High,754.7186799999998,1789.407248956306
PVB,Alaska,SO_CVaR,Low,6755.2912,857.9714105320485
PVB,Alaska,SO_CVaR,Med,3778.8754666666664,2222.49998743817
PVB,Alaska,SO_CVaR,High,1040.4945400000001,2524.109446150172
PVB,Minnesota,LP_Avg,Low,2110.5884,224.5913904478796
PVB,Minnesota,LP_Avg,Med,595.9025333333333,340.17403110306964
PVB,Minnesota,LP_Avg,High,182.95934,536.2976242301723
PVB,Minnesota,LP_Worst,Low,2540.7098,214.05442136255942
PVB,Minnesota,LP_Worst,Med,596.457,208.90708567539818
PVB,Minnesota,LP_Worst,High,215.16026000000002,709.2758575148271
PVB,Minnesota,SO_CVaR,Low,2040.3616,221.79900583990934
PVB,Minnesota,SO_CVaR,Med,550.5750666666667,321.27711336198814
PVB,Minnesota,SO_CVaR,High,90.02086,312.58992981275065
PVB,California,LP_Avg,Low,474.31204,105.23903910235983
PVB,California,LP_Avg,Med,175.69506666666666,133.7412331086715
PVB,California,LP_Avg,High,64.02022,216.5563206958597
PVB,California,LP_Worst,Low,421.3523,100.03771983283113
PVB,California,LP_Worst,Med,120.01273333333334,97.80096214103409
PVB,California,LP_Worst,High,32.047340000000005,46.31478030598859
PVB,California,SO_CVaR,Low,396.39303333333334,93.7944063214432
PVB,California,SO_CVaR,Med,137.76546666666667,110.36430570312122
PVB,California,SO_CVaR,High,28.378120000000003,90.16253513571998
PVB,Arizona,LP_Avg,Low,402.1098,53.116953547619445
PVB,Arizona,LP_Avg,Med,137.90693333333328,69.68428246779906
PVB,Arizona,LP_Avg,High,43.8021,97.57912323795489
PVB,Arizona,LP_Worst,Low,390.8187999999999,47.55422478211587
PVB,Arizona,LP_Worst,Med,122.53093333333334,49.42598279557015
PVB,Arizona,LP_Worst,High,29.625020000000013,111.04519583175093
PVB,Arizona,SO_CVaR,Low,341.9428,38.32997150784226
PVB,Arizona,SO_CVaR,Med,109.03326666666668,47.19233776396327
PVB,Arizona,SO_CVaR,High,30.451960000000003,34.18416075506311
PVB,Florida,LP_Avg,Low,568.151,157.69837303798678
PVB,Florida,LP_Avg,Med,180.19539999999998,173.7749074617851
PVB,Florida,LP_Avg,High,53.99212,188.96989282245994
PVB,Florida,LP_Worst,Low,277.8184,40.706236299466426
PVB,Florida,LP_Worst,Med,52.80406666666667,36.5129688539837
PVB,Florida,LP_Worst,High,22.39506,24.076014079161975
PVB,Florida,SO_CVaR,Low,326.47,60.46691680954134
PVB,Florida,SO_CVaR,Med,76.3764,49.24548593932247
PVB,Florida,SO_CVaR,High,26.68568,49.77792230429066
PCM,Alaska,LP_Avg,Low,6443.343720000001,880.8502949062503
PCM,Alaska,LP_Avg,Med,3809.8704,2370.261818274793
PCM,Alaska,LP_Avg,High,1289.83184,3698.258290423405
PCM,Alaska,LP_Worst,Low,6161.345066666668,920.3133521223782
PCM,Alaska,LP_Worst,Med,3344.2111999999997,1939.6919765254868
PCM,Alaska,LP_Worst,High,748.1330800000001,1417.4615922439057
PCM,Alaska,SO_CVaR,Low,6106.078266666667,876.7362000084704
PCM,Alaska,SO_CVaR,Med,3760.396666666667,2261.542235776663
PCM,Alaska,SO_CVaR,High,1088.39422,2205.510179780871
PCM,Minnesota,LP_Avg,Low,1541.3684,184.6601056328085
PCM,Minnesota,LP_Avg,Med,489.61100000000005,295.26853210407006
PCM,Minnesota,LP_Avg,High,175.53346,516.4641532957083
PCM,Minnesota,LP_Worst,Low,1566.1638,204.17387981138052
PCM,Minnesota,LP_Worst,Med,384.9943333333333,227.79174461334617
PCM,Minnesota,LP_Worst,High,108.54748,236.94568066611393
PCM,Minnesota,SO_CVaR,Low,1444.2986,157.50473324591874
PCM,Minnesota,SO_CVaR,Med,398.55659999999995,267.97467038343734
PCM,Minnesota,SO_CVaR,High,78.33612000000001,292.24083183373193
PCM,California,LP_Avg,Low,338.35868,95.18212473583473
PCM,California,LP_Avg,Med,121.39719733333334,157.32985247769068
PCM,California,LP_Avg,High,47.766302,279.74414120390037
PCM,California,LP_Worst,Low,277.5552533333333,74.54093298938507
PCM,California,LP_Worst,Med,59.975748,66.70344889293207
PCM,California,LP_Worst,High,10.247948000000001,83.7326417204664
PCM,California,SO_CVaR,Low,267.53144,79.38589745812544
PCM,California,SO_CVaR,Med,81.49198266666667,66.69003938289458
PCM,California,SO_CVaR,High,25.820100000000004,73.81629027890823
PCM,Arizona,LP_Avg,Low,333.6758,40.7215044150875
PCM,Arizona,LP_Avg,Med,105.14673333333333,52.66389237031378
PCM,Arizona,LP_Avg,High,37.261160000000004,90.08764528118164
PCM,Arizona,LP_Worst,Low,274.195,25.20397962727318
PCM,Arizona,LP_Worst,Med,91.06846666666667,40.03128071096392
PCM,Arizona,LP_Worst,High,22.684639999999998,58.22078702398328
PCM,Arizona,SO_CVaR,Low,304.8054,28.65460767115827
PCM,Arizona,SO_CVaR,Med,96.89573333333334,42.83602955909894
PCM,Arizona,SO_CVaR,High,20.39894,42.55411802507485
PCM,Florida,LP_Avg,Low,387.6071733333333,116.58495991375555
PCM,Florida,LP_Avg,Med,125.51420333333334,126.5697257408264
PCM,Florida,LP_Avg,High,48.653623333333336,164.06467369215093
PCM,Florida,LP_Worst,Low,323.68195333333335,55.06751033184631
PCM,Florida,LP_Worst,Med,49.114000000000004,53.08828461131509
PCM,Florida,LP_Worst,High,19.347659999999998,114.88415489227393
PCM,Florida,SO_CVaR,Low,237.12212666666667,43.30626367928788
PCM,Florida,SO_CVaR,Med,47.569799999999994,45.49209634686016
PCM,Florida,SO_CVaR,High,18.41136,57.771509877897586
