architecture,location,climate,best_method,best_total,diesel_fixed_cost,diesel_gallons,breakeven_usd_per_gal,breakeven_std,n_folds
PVB,Alaska,Polar (AK),SO_CVaR,18352.729,1652.458600000001,1876.4442,8.899955778061505,1.0145986978944495,5
PCM,Alaska,Polar (AK),SO_CVaR,17570.591,1652.458600000001,1876.4442,8.483136562227642,1.044321434524201,5
PVB,Minnesota,Continental (MN),SO_CVaR,7544.457,1537.3760000000038,1587.7459999999999,3.783401753177144,0.19138168927612523,5
PCM,Minnesota,Continental (MN),SO_CVaR,6473.474,1537.3760000000038,1587.7459999999999,3.108871318208326,0.16196131120201435,5
PVB,California,Marine (CA),SO_CVaR,2506.714,1205.1847999999998,771.9190000000001,1.6860955618400377,0.11702412249861655,5
PCM,California,Marine (CA),SO_CVaR,2376.924,1205.1847999999998,771.9190000000001,1.517956158612497,0.06294949528899965,5
PVB,Arizona,Arid (AZ),SO_CVaR,2880.975,1332.9661999999996,1103.0402,1.4034019793657568,0.03573442714722961,5
PCM,Arizona,Arid (AZ),SO_CVaR,2737.834,1332.9661999999996,1103.0402,1.2736324569131754,0.0318251410167633,5
PVB,Florida,Tropical (FL),SO_CVaR,2504.21,1339.6191999999996,1090.4902,1.0679516422981155,0.01482761408073187,5
PCM,Florida,Tropical (FL),SO_CVaR,2193.312,1339.6191999999996,1090.4902,0.7828523355826584,0.02055606906962132,5
