architecture,location,method,pv_kw_mean,pv_kw_std,pv_kw_count,battery_kwh_mean,battery_kwh_std,battery_kwh_count,pcm_hot_kwh_mean,pcm_hot_kwh_std,pcm_hot_kwh_count,pcm_cold_kwh_mean,pcm_cold_kwh_std,pcm_cold_kwh_count
PVB,Alaska,LP_Avg,51.25791999999999,1.3809052857636488,5,72.39588,2.178227854989011,5,0.0,0.0,5,0.0,0.0,5
PVB,Alaska,LP_Worst,73.775,7.600395055521788,5,95.4638,2.0142500341318086,5,0.0,0.0,5,0.0,0.0,5
PVB,Alaska,SO_CVaR,58.774,4.760513995358066,5,73.1686,0.5587936112734337,5,0.0,0.0,5,0.0,0.0,5
PVB,Minnesota,LP_Avg,23.717239999999997,0.26275903742782925,5,64.90351999999999,0.8379310865160683,5,0.0,0.0,5,0.0,0.0,5
PVB,Minnesota,LP_Worst,27.900799999999997,2.299125094465283,5,72.701,6.039619607226933,5,0.0,0.0,5,0.0,0.0,5
PVB,Minnesota,SO_CVaR,24.9022,1.1003473088075426,5,66.6428,2.158785352924186,5,0.0,0.0,5,0.0,0.0,5
PVB,California,LP_Avg,5.39448,0.10730767446925663,5,16.453,0.3119092315882951,5,0.0,0.0,5,0.0,0.0,5
PVB,California,LP_Worst,6.0348,0.09659813662799091,5,18.6256,0.3273603519059689,5,0.0,0.0,5,0.0,0.0,5
PVB,California,SO_CVaR,5.8176000000000005,0.07294381399406004,5,17.9296,0.24742130061900589,5,0.0,0.0,5,0.0,0.0,5
PVB,Arizona,LP_Avg,5.690080000000001,0.013310972917109023,5,26.220320000000005,0.2719588286855187,5,0.0,0.0,5,0.0,0.0,5
PVB,Arizona,LP_Worst,5.9286,0.023702320561497552,5,28.3722,1.1399474549293946,5,0.0,0.0,5,0.0,0.0,5
PVB,Arizona,SO_CVaR,5.859,0.04919349550499545,5,28.6596,0.4973015181959546,5,0.0,0.0,5,0.0,0.0,5
PVB,Florida,LP_Avg,4.976800000000001,0.08570919583101834,5,21.32604,0.42670978340085075,5,0.0,0.0,5,0.0,0.0,5
PVB,Florida,LP_Worst,5.5884,0.1601024671889852,5,24.438,0.22137072977247782,5,0.0,0.0,5,0.0,0.0,5
PVB,Florida,SO_CVaR,5.5938,0.15697197202048527,5,23.8878,0.6869200826879356,5,0.0,0.0,5,0.0,0.0,5
PCM,Alaska,LP_Avg,49.91472,1.2553616707945179,5,29.35924,2.0273643340554206,5,134.65704,2.441650582444173,5,0.0,0.0,5
PCM,Alaska,LP_Worst,68.87740000000001,7.550307132825792,5,54.77139999999999,2.9529513710862245,5,118.7462,18.394342396508776,5,0.0,0.0,5
PCM,Alaska,SO_CVaR,56.964800000000004,4.386404472914006,5,33.722,0.6971882815997396,5,127.77839999999999,9.926645067695318,5,0.0,0.0,5
PCM,Minnesota,LP_Avg,22.71588,0.21403217807142882,5,9.198640000000001,0.15993716500551045,5,194.35216,2.2948506265114523,5,0.0,0.0,5
PCM,Minnesota,LP_Worst,25.5426,1.8210537608758284,5,10.185199999999998,0.4422942459494578,5,211.67919999999998,4.206491079272603,5,0.0,0.0,5
PCM,Minnesota,SO_CVaR,23.9538,0.4999731992817218,5,9.692,0.17374694241914004,5,206.195,3.639764003338676,5,0.0,0.0,5
PCM,California,LP_Avg,5.5746400000000005,0.1281662416551249,5,6.09636,0.1984715766803901,5,38.1136,1.355056583689407,5,0.13732,0.055386410788206886,5
PCM,California,LP_Worst,6.803999999999999,0.1632329623574849,5,6.0584,0.6448820047109395,5,52.3432,3.548192666696665,5,0.0,0.0,5
PCM,California,SO_CVaR,6.6372,0.2531495605368496,5,7.5866,0.5686816332536154,5,38.778800000000004,3.0712143689426825,5,0.0,0.0,5
PCM,Arizona,LP_Avg,5.81136,0.029712442679793213,5,16.16804,0.18135557752658374,5,35.91184,1.135184975785885,5,6.52792,0.24336111182767112,5
PCM,Arizona,LP_Worst,6.123,0.07826237921249296,5,16.759999999999998,0.8810107831349173,5,38.724599999999995,1.5442285452613567,5,7.6524,0.15563033123398584,5
PCM,Arizona,SO_CVaR,6.0161999999999995,0.09142319180601824,5,17.293599999999998,0.6337063988946297,5,36.7434,2.0918142364942445,5,5.9672,1.4729751185950155,5
PCM,Florida,LP_Avg,4.9824399999999995,0.09279106503322436,5,4.922719999999999,0.1151007037337305,5,0.0,0.0,5,50.72832,1.0990839023932655,5
PCM,Florida,LP_Worst,5.4044,0.13058636988598776,5,8.173399999999999,1.656031944136344,5,0.0,0.0,5,44.568,6.795410583621858,5
PCM,Florida,SO_CVaR,5.4592,0.11003045033080601,5,6.706999999999999,0.8153784397443927,5,0.0,0.0,5,50.3846,3.065036590319927,5
