location,architecture,method,unmet_kwh_yr_mean,unmet_kwh_yr_sd,cost_ex_penalty_usd_yr_mean,cost_ex_penalty_usd_yr_sd,pareto
Alaska,PVB,LP_Avg,2880.8548533333333,837.3268151706083,9604.0816,223.4600156164405,True
Alaska,PVB,LP_Worst,1959.6568933333333,822.7350180711302,13102.6926,802.5391079597299,True
Alaska,PVB,SO_CVaR,2616.09172,866.3078151106317,10504.453599999999,536.8521444460279,False
Alaska,PCM,LP_Avg,2895.8403866666667,838.1118884794499,8797.5692,202.50300477696524,True
Alaska,PCM,LP_Worst,2071.488213333333,860.8523628294322,11855.591,850.4593863583367,True
Alaska,PCM,SO_CVaR,2613.2148533333334,861.7750770017758,9730.9466,458.9767871927733,True
Minnesota,PVB,LP_Avg,467.88177333333334,132.1696891786178,6124.9578,60.60266322695739,False
Minnesota,PVB,LP_Worst,282.01408,188.8414087413704,6910.556400000001,499.469609706937,False
Minnesota,PVB,SO_CVaR,405.03422666666665,127.34517914120576,6329.3542,158.43718915772303,False
Minnesota,PCM,LP_Avg,376.4656933333334,108.30228816403547,5316.963,35.60838804972744,True
Minnesota,PCM,LP_Worst,246.1118933333333,107.91266310135146,5812.494199999999,196.4269442698737,True
Minnesota,PCM,SO_CVaR,301.7338266666667,100.3636159347666,5568.273,89.76420997257193,True
California,PVB,LP_Avg,121.66254666666666,52.2487466158312,2132.18,23.19219809548039,False
California,PVB,LP_Worst,76.81464,37.19262867464764,2290.2232,23.827093154642466,False
California,PVB,SO_CVaR,89.50617333333335,40.988259900653944,2238.1953999999996,17.760113901661715,False
California,PCM,LP_Avg,79.36527880000001,40.873391579774676,2040.27624,24.11249688705018,True
California,PCM,LP_Worst,30.037291599999996,22.27666042030996,2286.9633999999996,20.638013005132187,True
California,PCM,SO_CVaR,45.66296333333334,32.53311457629232,2224.8426,48.08414042904346,True
Arizona,PVB,LP_Avg,106.93837333333332,26.923609526114177,2543.5126,11.926480926912507,False
Arizona,PVB,LP_Worst,76.31971999999999,28.158553863924826,2654.2184,41.26574009756774,False
Arizona,PVB,SO_CVaR,74.57428,22.322991350195185,2657.2526000000007,24.89727528867374,False
Arizona,PCM,LP_Avg,79.53142666666666,19.657778523786,2487.9775999999997,7.936636680609803,True
Arizona,PCM,LP_Worst,55.81506666666667,22.104537673568792,2576.4764000000005,32.6568783841934,True
Arizona,PCM,SO_CVaR,60.21454666666667,22.90391581335675,2557.1908,32.66521237034883,True
Florida,PVB,LP_Avg,65.16915999999999,66.28862035991797,2271.9402,26.28527097444529,False
Florida,PVB,LP_Worst,15.149826666666666,21.136301451746736,2462.9240000000004,27.089963547410253,True
Florida,PVB,SO_CVaR,20.634066666666666,31.24197408793355,2442.3078,44.70168215179365,False
Florida,PCM,LP_Avg,47.476234266666665,45.61293868645338,2020.01784,17.555662836475214,True
Florida,PCM,LP_Worst,19.42574533333333,17.635986292415733,2148.159,2.1891105499722094,False
Florida,PCM,SO_CVaR,17.167462933333333,18.326791277883093,2141.54516,9.811238689788404,True
