metric,architecture,location,method,train_mean,train_sd,test_mean,test_sd,gap_abs,deg_pct
total_cost,PVB,Alaska,LP_Avg,18036.50628,576.3006143856385,18246.646159999997,2336.72349216927,210.13987999999517,1.1650808462446596
total_cost,PVB,Alaska,LP_Worst,23038.850599999998,1539.535933003773,18981.66328,1864.5527174458248,-4057.1873199999973,-17.61019848794018
total_cost,PVB,Alaska,SO_CVaR,21624.3958,893.894703271421,18352.72876,2222.499987438171,-3271.6670399999966,-15.12951885573606
total_cost,PVB,Minnesota,LP_Avg,7439.525240000003,91.08536989513183,7528.60312,340.1740311030696,89.0778799999971,1.1973597390469646
total_cost,PVB,Minnesota,LP_Worst,8608.5496,162.44899692457383,7756.598640000001,208.9070856753981,-851.9509599999992,-9.896567942176917
total_cost,PVB,Minnesota,SO_CVaR,8378.836,112.98820198808384,7544.45688,321.2771133619882,-834.3791199999996,-9.958174619959141
total_cost,PVB,California,LP_Avg,2465.5353999999998,36.8920240149547,2497.16764,133.74123310867137,31.632240000000365,1.2829765088751257
total_cost,PVB,California,LP_Worst,2787.9444000000003,44.29337613910248,2520.66712,97.80096214103396,-267.27728000000025,-9.58689420061606
total_cost,PVB,California,SO_CVaR,2711.8716,33.03346871432052,2506.7139199999997,110.36430570312129,-205.15768000000025,-7.565169383388221
total_cost,PVB,Arizona,LP_Avg,2847.7108400000006,15.793686027982693,2864.32772,69.68428246779914,16.616879999999583,0.5835171101852314
total_cost,PVB,Arizona,LP_Worst,3072.3186,41.54256531318201,2883.17756,49.425982795570285,-189.14103999999998,-6.156296420560029
total_cost,PVB,Arizona,SO_CVaR,3037.5396,30.631061600930447,2880.97544,47.19233776396317,-156.5641599999999,-5.154308440950034
total_cost,PVB,Florida,LP_Avg,2401.64836,24.9455261579705,2467.44768,173.77490746178518,65.79932000000008,2.739756622822172
total_cost,PVB,Florida,LP_Worst,2591.451,49.54455817746295,2508.3734800000007,36.512968853983644,-83.07751999999937,-3.205830247224407
total_cost,PVB,Florida,SO_CVaR,2576.9248,52.34036173642693,2504.21,49.24548593932252,-72.71479999999974,-2.821766471415842
total_cost,PCM,Alaska,LP_Avg,17261.77348,583.2033029872329,17485.09036,2370.2618182747933,223.3168799999985,1.2937076266163499
total_cost,PCM,Alaska,LP_Worst,22313.3044,1615.2317533916937,18070.05564,1939.6919765254884,-4243.248760000002,-19.016675808895442
total_cost,PCM,Alaska,SO_CVaR,20897.7938,925.073506490269,17570.59116,2261.5422357766615,-3327.2026399999995,-15.921310506949302
total_cost,PCM,Minnesota,LP_Avg,6370.72684,78.1679362525914,6446.36008,295.2685321040703,75.63324000000011,1.1871995440947223
total_cost,PCM,Minnesota,LP_Worst,7468.591,104.81792251327974,6550.82988,227.79174461334637,-917.7611200000001,-12.288276597285888
total_cost,PCM,Minnesota,SO_CVaR,7246.4004,129.03006842127934,6473.47448,267.9746703834374,-772.9259200000006,-10.666342974920354
total_cost,PCM,California,LP_Avg,2251.6884,31.773263331022427,2348.55728,157.32985247769065,96.86887999999999,4.30205529326349
total_cost,PCM,California,LP_Worst,2530.6553999999996,26.138740229781266,2401.83468,66.70344889293204,-128.8207199999997,-5.090409385647676
total_cost,PCM,California,SO_CVaR,2504.4163999999996,26.94461763135632,2376.9237200000002,66.69003938289457,-127.49267999999938,-5.090714148014659
total_cost,PCM,Arizona,LP_Avg,2706.8037600000002,12.400988879792934,2726.57188,52.663892370313796,19.768119999999726,0.7303122705873485
total_cost,PCM,Arizona,LP_Worst,2908.3464,24.662935364631828,2743.9216,40.03128071096379,-164.42479999999978,-5.6535493846262534
total_cost,PCM,Arizona,SO_CVaR,2873.8802,20.035714342144153,2737.83444,42.83602955909885,-136.04575999999997,-4.733870256665535
total_cost,PCM,Florida,LP_Avg,2106.02084,17.57650509275112,2187.7875599999998,126.56972574082623,81.76671999999962,3.88252188425636
total_cost,PCM,Florida,LP_Worst,2265.575,5.178733435889436,2206.78272,53.08828461131497,-58.792279999999664,-2.595026869558486
total_cost,PCM,Florida,SO_CVaR,2269.364,24.18167738185257,2193.31232,45.49209634686022,-76.05168000000003,-3.351233208951937
total_unmet_kwh,PVB,Alaska,LP_Avg,2810.80952,145.95584111018957,2880.8548533333333,837.3268151706083,70.04533333333347,2.491998580299866
total_unmet_kwh,PVB,Alaska,LP_Worst,3312.0468666666666,245.65472615052403,1959.6568933333333,822.7350180711302,-1352.3899733333333,-40.832452793592715
total_unmet_kwh,PVB,Alaska,SO_CVaR,2604.715266666667,145.38198681355126,2616.09172,866.3078151106317,11.376453333332847,0.4367637982900004
total_unmet_kwh,PVB,Minnesota,LP_Avg,438.18768,14.228909448340838,467.88177333333334,132.1696891786178,29.694093333333342,6.776569650094531
total_unmet_kwh,PVB,Minnesota,LP_Worst,566.0062,112.33752097921494,282.01408,188.8414087413704,-283.99212000000006,-50.174736601825224
total_unmet_kwh,PVB,Minnesota,SO_CVaR,402.6653333333333,48.33604516932588,405.03422666666665,127.34517914120576,2.3688933333333466,0.5883032725273958
total_unmet_kwh,PVB,California,LP_Avg,111.11982666666665,4.606737772358855,121.66254666666666,52.2487466158312,10.542720000000003,9.487703784515146
total_unmet_kwh,PVB,California,LP_Worst,165.90773333333334,6.811659344258366,76.81464,37.19262867464764,-89.09309333333334,-53.70038607804499
total_unmet_kwh,PVB,California,SO_CVaR,88.5578,7.09428812731294,89.50617333333335,40.988259900653944,0.9483733333333504,1.0709088678053773
total_unmet_kwh,PVB,Arizona,LP_Avg,101.39662666666666,2.393516290784323,106.93837333333332,26.923609526114177,5.541746666666654,5.465415220256493
total_unmet_kwh,PVB,Arizona,LP_Worst,139.358,0.0804984471899976,76.31971999999999,28.158553863924826,-63.038280000000015,-45.23477661849339
total_unmet_kwh,PVB,Arizona,SO_CVaR,73.88446666666667,4.11492056491442,74.57428,22.322991350195185,0.6898133333333334,0.9336378327605172
total_unmet_kwh,PVB,Florida,LP_Avg,43.23468,0.9725426376971289,65.16915999999999,66.28862035991797,21.934479999999994,50.73353150757678
total_unmet_kwh,PVB,Florida,LP_Worst,42.8268,7.485312090279795,15.149826666666666,21.136301451746736,-27.676973333333333,-64.62535919875717
total_unmet_kwh,PVB,Florida,SO_CVaR,14.611333333333334,1.8875720295307055,20.634066666666666,31.24197408793355,6.022733333333331,41.21960122279507
total_unmet_kwh,PCM,Alaska,LP_Avg,2821.4035866666663,158.4640457645676,2895.8403866666667,838.1118884794499,74.4368000000004,2.6382896921153844
