location,method,architecture,electric_unmet_kwh_mean,electric_unmet_kwh_std,electric_unmet_kwh_count,thermal_unmet_kwh_mean,thermal_unmet_kwh_std,thermal_unmet_kwh_count,critical_worst_event_h_mean,critical_worst_event_h_std,critical_worst_event_h_count,hvac_worst_event_h_mean,hvac_worst_event_h_std,hvac_worst_event_h_count
Alaska,LP_Avg,PVB,0.0,0.0,5,2880.8548533333333,837.3268151706083,5,0.0,0.0,5,100.6,22.802192877001982,5
Alaska,LP_Avg,PCM,0.0,0.0,5,2895.8403866666667,838.1118884794499,5,0.0,0.0,5,45.56,12.571714282467608,5
Alaska,LP_Worst,PVB,0.0,0.0,5,1959.6568933333333,822.7350180711302,5,0.0,0.0,5,73.03999999999999,24.713316248532895,5
Alaska,LP_Worst,PCM,0.0,0.0,5,2071.488213333333,860.8523628294322,5,0.0,0.0,5,43.4,19.94392137970866,5
Alaska,SO_CVaR,PVB,0.0,0.0,5,2616.09172,866.3078151106317,5,0.0,0.0,5,84.47999999999999,24.26338805690582,5
Alaska,SO_CVaR,PCM,0.0,0.0,5,2613.2148533333334,861.7750770017758,5,0.0,0.0,5,45.32,18.618592857678586,5
Minnesota,LP_Avg,PVB,0.0,0.0,5,467.88177333333334,132.1696891786178,5,0.0,0.0,5,21.52,6.062342781466582,5
Minnesota,LP_Avg,PCM,0.0,0.0,5,376.4656933333334,108.30228816403547,5,0.0,0.0,5,10.2,3.7175260590882213,5
Minnesota,LP_Worst,PVB,0.0,0.0,5,282.01408,188.8414087413704,5,0.0,0.0,5,18.639999999999997,6.342554690343631,5
Minnesota,LP_Worst,PCM,0.0,0.0,5,246.1118933333333,107.91266310135146,5,0.0,0.0,5,7.6,2.6343879744638983,5
Minnesota,SO_CVaR,PVB,0.0,0.0,5,405.03422666666665,127.34517914120576,5,0.0,0.0,5,20.68,5.985983628444035,5
Minnesota,SO_CVaR,PCM,0.0,0.0,5,301.7338266666667,100.3636159347666,5,0.0,0.0,5,8.24,2.329806858947754,5
California,LP_Avg,PVB,0.0,0.0,5,121.66254666666666,52.2487466158312,5,0.0,0.0,5,46.28,14.748966065456926,5
California,LP_Avg,PCM,0.7235588000000001,0.6956532761621985,5,78.64172,40.319331038911514,5,1.16,1.1610340218959994,5,6.56,0.8294576541331088,5
California,LP_Worst,PVB,0.0,0.0,5,76.81464,37.19262867464764,5,0.0,0.0,5,37.12,13.071036684211393,5
California,LP_Worst,PCM,0.25525159999999997,0.26044468862082787,5,29.782040000000002,22.221141042289737,5,0.4800000000000001,0.41472882706655445,5,14.16,6.810873659083686,5
California,SO_CVaR,PVB,0.0,0.0,5,89.50617333333335,40.988259900653944,5,0.0,0.0,5,39.8,13.783323256747629,5
California,SO_CVaR,PCM,0.15559,0.19857525980846658,5,45.50737333333333,32.41865810070216,5,0.32,0.33466401061363027,5,18.639999999999997,8.65494078547046,5
Arizona,LP_Avg,PVB,0.0,0.0,5,106.93837333333332,26.923609526114177,5,0.0,0.0,5,15.559999999999999,3.0311713907332916,5
Arizona,LP_Avg,PCM,0.0,0.0,5,79.53142666666666,19.657778523786,5,0.0,0.0,5,7.359999999999999,1.602498049920811,5
Arizona,LP_Worst,PVB,0.0,0.0,5,76.31971999999999,28.158553863924826,5,0.0,0.0,5,13.84,3.021258016125072,5
Arizona,LP_Worst,PCM,0.0,0.0,5,55.81506666666667,22.104537673568792,5,0.0,0.0,5,6.640000000000001,1.519210321186635,5
Arizona,SO_CVaR,PVB,0.0,0.0,5,74.57428,22.322991350195185,5,0.0,0.0,5,14.12,3.0809089567853194,5
Arizona,SO_CVaR,PCM,0.0,0.0,5,60.21454666666667,22.90391581335675,5,0.0,0.0,5,6.88,1.2617448236470004,5
Florida,LP_Avg,PVB,0.0,0.0,5,65.16915999999999,66.28862035991797,5,0.0,0.0,5,10.440000000000001,7.959145682797871,5
Florida,LP_Avg,PCM,0.2612476,0.40817101316825527,5,47.21498666666666,45.59925174257919,5,0.8400000000000001,0.6841052550594827,5,9.52,4.767808720995422,5
Florida,LP_Worst,PVB,0.0,0.0,5,15.149826666666666,21.136301451746736,5,0.0,0.0,5,5.92,7.341117081207737,5
Florida,LP_Worst,PCM,0.003572,0.00798723481562925,5,19.422173333333337,17.635725037648882,5,0.04,0.0894427190999916,5,5.72,4.274576002365615,5
Florida,SO_CVaR,PVB,0.0,0.0,5,20.634066666666666,31.24197408793355,5,0.0,0.0,5,6.68,8.254211046490148,5
Florida,SO_CVaR,PCM,0.0027296,0.006103571151383427,5,17.16473333333333,18.32610358362567,5,0.04,0.0894427190999916,5,5.959999999999999,4.550604355467524,5
