climate,voll,cv_opt_lambda,cv_opt_alpha,modal_sel_lambda,modal_sel_alpha,modal_sel_nfolds,selected_test_mean,selected_test_sd,fixed_test_mean,fixed_test_sd,gap_fixed_minus_selected,gap_pct,selected_test_unmet,fixed_test_unmet
Alaska,High,0.0,0.8,0.25,0.8,2,26807.2764,3459.237101690123,28488.39048,2205.510179780873,1681.114080000007,6.271111077886327,523.9239200000001,315.741288
Alaska,Low,0.25,0.9,0.0,0.8,1,9464.3834,889.1455984983227,9469.29292,876.7362000084704,4.909519999999247,0.05187363817065195,5330.995574666666,5159.230165333333
Alaska,Med,0.0,0.8,0.0,0.8,2,17522.00696,2367.973398875221,17570.59116,2261.542235776663,48.58419999999751,0.2772753150418649,2879.892386666666,2613.214853333333
Arizona,High,0.0,0.8,0.0,0.8,4,3018.3406,84.45666623576852,3078.20772,42.55411802507496,59.86711999999943,1.983444810701596,24.18718,13.201832
Arizona,Low,0.0,0.8,0.0,0.8,4,2462.09168,39.28176482812341,2476.27876,28.65460767115843,14.1870799999997,0.5762206222962296,254.10588,189.98796
Arizona,Med,0.0,0.8,0.0,0.8,3,2727.43288,50.8492643236065,2737.83444,42.83602955909894,10.40155999999979,0.3813681383792583,76.63322666666667,60.21454666666666
California,High,0.25,0.8,0.0,0.8,2,2644.6018,151.0313846723919,2679.3608,73.81629027890811,34.75900000000001,1.31433775776754,20.02011493333333,10.94089493333333
California,Low,0.0,0.8,0.0,0.8,3,2037.97248,94.11610127301272,2060.63108,79.3858974581253,22.65860000000021,1.111820705253106,239.9326853333334,199.7086493333333
California,Med,0.0,0.8,0.0,0.8,4,2328.50084,116.8032747241618,2376.92372,66.69003938289458,48.42288000000008,2.079573224461456,70.16718213333334,45.66296333333333
Florida,High,0.0,0.8,0.0,0.8,4,2310.24272,142.1986544658986,2360.88532,57.77150987789751,50.64260000000058,2.192090015546098,13.9878264,7.513258666666667
Florida,Low,0.0,0.8,0.0,0.8,4,2046.4326,108.0125664695549,2087.2728,43.3062636792878,40.8402000000001,1.995677746728629,143.0341653333333,67.68540133333333
Florida,Med,0.25,0.9,0.25,0.9,3,2182.57424,90.62904492825677,2193.31232,45.49209634686016,10.73808000000008,0.491991511821384,29.7117568,17.16746293333334
Minnesota,High,0.25,0.95,0.25,0.8,1,7801.25992,466.1084127882187,8114.57748,292.2408318337326,313.3175600000004,4.016243058339228,95.290292,50.96004800000001
Minnesota,Low,0.0,0.8,0.0,0.8,4,5098.46956,183.3307680751595,5126.18984,157.5047332459187,27.72028000000046,0.5436980582855625,1365.728113333333,1131.60264
Minnesota,Med,0.0,0.8,0.0,0.8,5,6446.435280000001,297.3029743391277,6473.47448,267.9746703834373,27.03919999999925,0.4194442172387598,380.1630266666667,301.7338266666667
