architecture,voll,method,total_cost_mean,total_cost_std,total_cost_count,total_unmet_kwh_mean,total_unmet_kwh_std,total_unmet_kwh_count
PVB,Low,LP_Avg,2107.80644,105.2390391023597,5,359.3158133333333,115.92727642229427,5
PVB,Low,LP_Worst,2104.39532,100.03771983283114,5,325.176212,84.91341825579872,5
PVB,Low,SO_CVaR,2106.58092,93.79440632144325,5,305.30328,87.46816051638002,5
PVB,Med,LP_Avg,2497.16764,133.74123310867137,5,121.66254666666666,52.2487466158312,5
PVB,Med,LP_Worst,2520.66712,97.80096214103396,5,76.81464,37.19262867464764,5
PVB,Med,SO_CVaR,2506.7139199999997,110.36430570312129,5,89.50617333333335,40.988259900653944,5
PVB,High,LP_Avg,2925.42316,216.55632069585977,5,37.214256,26.088175259141448,5
PVB,High,LP_Worst,3114.5834800000002,46.31478030598865,5,11.463168,12.385289890693722,5
PVB,High,SO_CVaR,3028.2,90.1625351357199,5,13.591759999999999,11.519535854364968,5
PCM,Low,LP_Avg,2035.0655599999998,95.18212473583482,5,246.657424,88.34482627418069,5
PCM,Low,LP_Worst,2069.89036,74.54093298938503,5,183.50986266666666,72.5406758219665,5
PCM,Low,SO_CVaR,2060.63108,79.38589745812546,5,199.7086493333333,61.56927463204202,5
PCM,Med,LP_Avg,2348.55728,157.32985247769065,5,79.36527880000001,40.873391579774676,5
PCM,Med,LP_Worst,2401.83468,66.70344889293204,5,30.037291599999996,22.27666042030996,5
PCM,Med,SO_CVaR,2376.9237200000002,66.69003938289457,5,45.66296333333334,32.53311457629232,5
PCM,High,LP_Avg,2730.2848399999993,279.74414120390026,5,25.549785466666666,19.966571390743578,5
PCM,High,LP_Worst,2821.38296,83.73264172046632,5,6.22222,3.9505804762276258,5
PCM,High,SO_CVaR,2679.3608,73.81629027890827,5,10.940894933333334,10.04041575080078,5
